Name,State,Year,Type,Debt
Alcorn State University,Mississippi,2009-10,"Public, 4-year or above",19838
Alderson Broaddus College,West Virginia,2009-10,"Private nonprofit, 4-year or above",31751
Alverno College,Wisconsin,2009-10,"Private nonprofit, 4-year or above",33220
Appalachian State University,North Carolina,2009-10,"Public, 4-year or above",16130
Bennington College,Vermont,2009-10,"Private nonprofit, 4-year or above",26224
Bentley University,Massachusetts,2009-10,"Private nonprofit, 4-year or above",32710
Bethany Lutheran College,Minnesota,2009-10,"Private nonprofit, 4-year or above",26519
Bethune-Cookman University,Florida,2009-10,"Private nonprofit, 4-year or above",27645
Brandeis University,Massachusetts,2009-10,"Private nonprofit, 4-year or above",21351
Bryant University,Rhode Island,2009-10,"Private nonprofit, 4-year or above",39490
Campbellsville University,Kentucky,2009-10,"Private nonprofit, 4-year or above",18132
Capitol College,Maryland,2009-10,"Private nonprofit, 4-year or above",16814
Centre College,Kentucky,2009-10,"Private nonprofit, 4-year or above",19820
Colby College,Maine,2009-10,"Private nonprofit, 4-year or above",24600
College of Saint Mary,Nebraska,2009-10,"Private nonprofit, 4-year or above",30325
College of St Joseph,Vermont,2009-10,"Private nonprofit, 4-year or above",25848
College of the Atlantic,Maine,2009-10,"Private nonprofit, 4-year or above",20125
CUNY Brooklyn College,New York,2009-10,"Public, 4-year or above",16500
CUNY Lehman College,New York,2009-10,"Public, 4-year or above",13700
D'Youville College,New York,2009-10,"Private nonprofit, 4-year or above",42042
DePauw University,Indiana,2009-10,"Private nonprofit, 4-year or above",23778
Dominican University,Illinois,2009-10,"Private nonprofit, 4-year or above",22605
Drake University,Iowa,2009-10,"Private nonprofit, 4-year or above",35027
Elmira College,New York,2009-10,"Private nonprofit, 4-year or above",25438
Embry Riddle Aeronautical University-Prescott,Arizona,2009-10,"Private nonprofit, 4-year or above",0
Gettysburg College,Pennsylvania,2009-10,"Private nonprofit, 4-year or above",24981
Gonzaga University,Washington,2009-10,"Private nonprofit, 4-year or above",27136
Goucher College,Maryland,2009-10,"Private nonprofit, 4-year or above",20900
Hampton University,Virginia,2009-10,"Private nonprofit, 4-year or above",11334
Hardin-Simmons University,Texas,2009-10,"Private nonprofit, 4-year or above",37383
Hawaii Pacific University,Hawaii,2009-10,"Private nonprofit, 4-year or above",32172
Hebrew College,Massachusetts,2009-10,"Private nonprofit, 4-year or above",8300
Hillsdale Free Will Baptist College,Oklahoma,2009-10,"Private nonprofit, 4-year or above",23822
Illinois College,Illinois,2009-10,"Private nonprofit, 4-year or above",24401
Kennesaw State University,Georgia,2009-10,"Public, 4-year or above",947
Keystone College,Pennsylvania,2009-10,"Private nonprofit, 4-year or above",24750
King's College,Pennsylvania,2009-10,"Private nonprofit, 4-year or above",31113
Knox College,Illinois,2009-10,"Private nonprofit, 4-year or above",26506
Lehigh University,Pennsylvania,2009-10,"Private nonprofit, 4-year or above",31922
Life University,Georgia,2009-10,"Private nonprofit, 4-year or above",28000
Lipscomb University,Tennessee,2009-10,"Private nonprofit, 4-year or above",21034
Loyola University Maryland,Maryland,2009-10,"Private nonprofit, 4-year or above",26740
Marquette University,Wisconsin,2009-10,"Private nonprofit, 4-year or above",32824
Mars Hill College,North Carolina,2009-10,"Private nonprofit, 4-year or above",27775
Massachusetts Institute of Technology,Massachusetts,2009-10,"Private nonprofit, 4-year or above",15228
Molloy College,New York,2009-10,"Private nonprofit, 4-year or above",29823
Montclair State University,New Jersey,2009-10,"Public, 4-year or above",18805
Mount Olive College,North Carolina,2009-10,"Private nonprofit, 4-year or above",19091
New England College,New Hampshire,2009-10,"Private nonprofit, 4-year or above",36203
New Life Theological Seminary,North Carolina,2009-10,"Private nonprofit, 4-year or above",36498
North Central College,Illinois,2009-10,"Private nonprofit, 4-year or above",29137
Northeastern State University,Oklahoma,2009-10,"Public, 4-year or above",23155
Northern Kentucky University,Kentucky,2009-10,"Public, 4-year or above",21535
Paul Smiths College of Arts and Science,New York,2009-10,"Private nonprofit, 4-year or above",22036
Point Loma Nazarene University,California,2009-10,"Private nonprofit, 4-year or above",25607
Purdue University-Calumet Campus,Indiana,2009-10,"Public, 4-year or above",22106
Rhodes College,Tennessee,2009-10,"Private nonprofit, 4-year or above",24946
Rice University,Texas,2009-10,"Private nonprofit, 4-year or above",13944
Rider University,New Jersey,2009-10,"Private nonprofit, 4-year or above",35404
Rutgers University-New Brunswick,New Jersey,2009-10,"Public, 4-year or above",16766
Saint Augustines College,North Carolina,2009-10,"Private nonprofit, 4-year or above",12614
Saint Charles Borromeo Seminary-Overbrook,Pennsylvania,2009-10,"Private nonprofit, 4-year or above",19000
Saint Mary's College,Indiana,2009-10,"Private nonprofit, 4-year or above",28838
South Dakota School of Mines and Technology,South Dakota,2009-10,"Public, 4-year or above",16045
Southern Methodist University,Texas,2009-10,"Private nonprofit, 4-year or above",24569
Southwestern College,Arizona,2009-10,"Private nonprofit, 4-year or above",21801
Southwestern University,Texas,2009-10,"Private nonprofit, 4-year or above",29548
St Louis College of Pharmacy,Missouri,2009-10,"Private nonprofit, 4-year or above",107649
Tennessee Wesleyan College,Tennessee,2009-10,"Private nonprofit, 4-year or above",17919
Texas State University-San Marcos,Texas,2009-10,"Public, 4-year or above",21667
The Baptist College of Florida,Florida,2009-10,"Private nonprofit, 4-year or above",7988
Thomas More College of Liberal Arts,New Hampshire,2009-10,"Private nonprofit, 4-year or above",28194
Trine University,Indiana,2009-10,"Private nonprofit, 4-year or above",26050
Trinity College of Nursing and Health Sciences,Illinois,2009-10,"Private nonprofit, 4-year or above",9500
University of Dayton,Ohio,2009-10,"Private nonprofit, 4-year or above",35421
University of Dubuque,Iowa,2009-10,"Private nonprofit, 4-year or above",41399
University of Houston,Texas,2009-10,"Public, 4-year or above",14922
University of Houston-Downtown,Texas,2009-10,"Public, 4-year or above",15484
University of Indianapolis,Indiana,2009-10,"Private nonprofit, 4-year or above",27070
University of Mary Hardin-Baylor,Texas,2009-10,"Private nonprofit, 4-year or above",17500
University of Michigan-Ann Arbor,Michigan,2009-10,"Public, 4-year or above",27828
University of Notre Dame,Indiana,2009-10,"Private nonprofit, 4-year or above",30341
University of Oklahoma Norman Campus,Oklahoma,2009-10,"Public, 4-year or above",21517
University of Pennsylvania,Pennsylvania,2009-10,"Private nonprofit, 4-year or above",17013
University of Science and Arts of Oklahoma,Oklahoma,2009-10,"Public, 4-year or above",15339
University of South Dakota,South Dakota,2009-10,"Public, 4-year or above",22954
University of St Francis,Illinois,2009-10,"Private nonprofit, 4-year or above",27088
University of the Southwest,New Mexico,2009-10,"Private nonprofit, 4-year or above",19645
University of Wisconsin-Eau Claire,Wisconsin,2009-10,"Public, 4-year or above",21185
Vanguard University of Southern California,California,2009-10,"Private nonprofit, 4-year or above",28256
Victory University,Tennessee,2009-10,"Private nonprofit, 4-year or above",27625
Villanova University,Pennsylvania,2009-10,"Private nonprofit, 4-year or above",37267
Wabash College,Indiana,2009-10,"Private nonprofit, 4-year or above",29897
Waldorf College,Iowa,2009-10,"Private nonprofit, 4-year or above",26262
Warner Pacific College,Oregon,2009-10,"Private nonprofit, 4-year or above",30559
Webber International University,Florida,2009-10,"Private nonprofit, 4-year or above",28655
Western New Mexico University,New Mexico,2009-10,"Public, 4-year or above",3250
Western State College of Colorado,Colorado,2009-10,"Public, 4-year or above",18600
Wheeling Jesuit University,West Virginia,2009-10,"Private nonprofit, 4-year or above",32927
Williams College,Massachusetts,2009-10,"Private nonprofit, 4-year or above",8065
Wittenberg University,Ohio,2009-10,"Private nonprofit, 4-year or above",29506
Woodbury University,California,2009-10,"Private nonprofit, 4-year or above",44579
Wright State University-Main Campus,Ohio,2009-10,"Public, 4-year or above",26542
