year,month,gas,temperature,electric,sqfeet,gassqf,elecsqft
1993,1,18354,11.2,NA,1147686,0.015992179,NA
1993,2,16253,13.95,NA,1147686,0.014161539,NA
1993,3,12568,26.05,NA,1147686,0.01095073,NA
1993,4,11507,41.4,NA,1147686,0.010026262,NA
1993,5,7619,55.75,NA,1147686,0.006638575,NA
1993,6,4599,63.85,NA,1147686,0.004007194,NA
1993,7,2976,69.35,NA,1147686,0.002593044,NA
1993,8,2811,69.1,NA,1147686,0.002449276,NA
1993,9,6432,54.15,NA,1147686,0.00560432,NA
1993,10,10383,45.75,NA,1147686,0.0090469,NA
1993,11,14432,30.15,NA,1147686,0.012574868,NA
1993,12,18660,20.75,NA,1147686,0.016258802,NA
1994,1,21779,3.5,NA,1147686,0.018976445,NA
1994,2,19140,8.85,NA,1147686,0.016677035,NA
1994,3,14469,32,NA,1147686,0.012607107,NA
1994,4,11473,44.05,NA,1147686,0.009996637,NA
1994,5,7201,58.3,NA,1147686,0.006274364,NA
1994,6,4459,68.4,NA,1147686,0.003885209,NA
1994,7,4304,67.85,NA,1147686,0.003750155,NA
1994,8,3951,66,NA,1147686,0.003442579,NA
1994,9,5578,62.6,NA,1147686,0.004860214,NA
1994,10,9681,51.45,NA,1147686,0.008435234,NA
1994,11,12562,36.6,NA,1147686,0.010945503,NA
1994,12,16439,24.75,NA,1147686,0.014323604,NA
1995,1,19608,15.9,NA,1227086,0.01597932,NA
1995,2,17690,17.9,NA,1227086,0.014416267,NA
1995,3,14915,33.2,NA,1227086,0.012154812,NA
1995,4,12063,39.9,NA,1227086,0.009830607,NA
1995,5,8164,54.15,NA,1227086,0.00665316,NA
1995,6,4522,69.9,NA,1227086,0.003685153,NA
1995,7,4055,71.35,33721.21212,1227086,0.003304577,0.027480724
1995,8,2120,73.5,33903.44828,1227086,0.00172767,0.027629236
1995,9,7385,57.95,36993.10345,1227086,0.006018323,0.030147116
1995,10,11857,46.85,38565.51724,1227086,0.009662729,0.031428537
1995,11,17299,25.5,33700,1227086,0.014097626,0.027463438
1995,12,18508,17.9,26890.32258,1227086,0.015082887,0.021913967
1996,1,23073.35365,8.1,35475,1227086,0.018803371,0.028909954
1996,2,14236.11781,15.5,37103.44828,1227086,0.011601565,0.03023704
1996,3,19486.33033,24.1,33572.41379,1227086,0.015880167,0.027359463
1996,4,14908.784,39.45,45025,1227086,0.012149747,0.03669262
1996,5,7652.744,53.05,39120,1227086,0.006236518,0.031880406
1996,6,6710.572,67.1,35586.2069,1227086,0.005468706,0.029000581
1996,7,6881.6,68.35,34933.33333,1227086,0.005608083,0.028468529
1996,8,5977.884,67.9,32771.42857,1227086,0.00487161,0.026706709
1996,9,9241.584,59.7,36387.09677,1227086,0.007531325,0.029653257
1996,10,13276.98199,48.5,37600,1227086,0.010819928,0.030641699
1996,11,15871.196,24.65,34979.31034,1227086,0.012934054,0.028505997
1996,12,20190.4032,13.35,24682.35294,1227086,0.016453943,0.020114607
1997,1,21390.61129,8.45,34853.33333,1227086,0.017432039,0.028403334
1997,2,16459.168,19.45,36993.10345,1227086,0.013413215,0.030147116
1997,3,15216.432,28.8,32850,1227086,0.012400461,0.02677074
1997,4,12414.204,41.3,36220.68966,1227086,0.010116817,0.029517646
1997,5,9174.792,51.2,39386.66667,1227086,0.007476894,0.032097723
1997,6,4921.356,69.05,39896.77419,1227086,0.004010604,0.03251343
1997,7,4688.596,70.25,37226.66667,1227086,0.003820919,0.030337455
1997,8,3659.392,66.6,33268.96552,1227086,0.002982181,0.027112171
1997,9,6142.84,61.8,39225,1227086,0.005006039,0.031965975
1997,10,10860.784,49.05,39571.42857,1227086,0.008850874,0.032248293
1997,11,15501.816,27.7,68853.33333,1227086,0.012633031,0.056111253
1997,12,15037.308,26.65,27085.71429,1227086,0.012254486,0.0220732
1998,1,18327.56949,17.8,37653.33333,1227086,0.014935848,0.030685163
1998,2,14396.712,30.6,39070.96774,1227086,0.011732439,0.031840448
1998,3,15342.932,30.05,34240,1227086,0.012503551,0.027903505
1998,4,10421.576,48.55,38613.33333,1227086,0.008492947,0.031467504
1998,5,6325,63.65,43509.67742,1227086,0.005154488,0.035457725
1998,6,5107.564,64.5,38648.27586,1227086,0.004162352,0.03149598
1998,7,4307.072,71.4,39360,1227086,0.00351,0.032075991
1998,8,3322.396,69.9,35613.7931,1227086,0.002707549,0.029023062
1998,9,6198.5,64.85,40900,1227086,0.005051398,0.033330997
1998,10,9963.14,50.4,39171.42857,1227086,0.008119349,0.031922317
1998,11,13283.512,35.85,35623.52941,1227086,0.010825249,0.029030997
1998,12,20794.33509,25.45,28567.74194,1227086,0.016946111,0.023280962
1999,1,21616.32,10.65,37793.93939,1317171,0.016411172,0.028693267
1999,2,15467.408,26.65,39428.57143,1317171,0.011742901,0.029934284
1999,3,14503.984,32.1,35085.71429,1317171,0.011011466,0.026637175
1999,4,11467.984,46.85,38480,1317171,0.008706526,0.029214126
1999,5,7886.516,59.35,40533.33333,1317171,0.005987466,0.030773023
1999,6,5260.376,66.15,39375,1317171,0.003993693,0.029893613
1999,7,4542.868,74.25,28746.66667,1317171,0.003448958,0.021824552
1999,8,3599.684,68.5,27862.06897,1317171,0.00273289,0.021152963
1999,9,7532.316,58.7,32200,1317171,0.005718556,0.024446332
1999,10,11175.516,46.5,37085.71429,1317171,0.008484484,0.028155581
1999,11,12355.508,40.9,35515.15152,1317171,0.009380337,0.026963205
1999,12,15544.3961,23.05,27948.3871,1317171,0.01180135,0.021218496
2000,1,21365.87503,12.85,39172.41379,1342530,0.015914635,0.029178055
2000,2,16694.793,25.7,41703.22581,1342530,0.012435322,0.031063161
2000,3,14333.7656,39.35,38160,1342530,0.010676682,0.028423946
2000,4,12832.3494,44.95,43413.33333,1342530,0.009558333,0.032336956
2000,5,7752.9964,58.95,46250,1342530,0.005774915,0.034449882
2000,6,5636.675628,65.4,41173.67742,1342530,0.004198547,0.030668721
2000,7,5983.945098,70.25,43840,1342530,0.004457215,0.032654764
2000,8,4141.0512,69.95,42916.12903,1342530,0.003084513,0.031966607
2000,9,7920.9949,57.9,46299.77419,1342530,0.005900051,0.034486957
2000,10,10572.8936,50.4,46542.85714,1342530,0.00787535,0.03466802
2000,11,17285.1678,30.1,42981.81818,1342530,0.01287507,0.032015536
2000,12,29294.88565,6.5,34529.03226,1342530,0.021820656,0.025719375
2001,1,22652.805,17.55,44400,1445090,0.015675705,0.03072473
2001,2,23042.3952,9.3,45653.33333,1445090,0.015945301,0.031592035
2001,3,17577.105,24.6,39428.57143,1445090,0.012163329,0.027284509
2001,4,12192.2104,46.55,44898.60606,1445090,0.00843699,0.031069765
2001,5,8445.177,58.6,47900.56667,1445090,0.005844049,0.033147117
2001,6,5961.4512,67,42866.37931,1445090,0.004125315,0.029663467
2001,7,5091.5,73.05,45206.59375,1445090,0.00352331,0.031282892
2001,8,4314.0303,71.2,43741.82759,1445090,0.002985302,0.030269276
2001,9,8383.1512,58.4,47403.03333,1445090,0.005801127,0.032802824
2001,10,12165.5376,46.2,44492.78125,1445090,0.008418533,0.030788934
2001,11,11622.30641,44.95,39466.66667,1445090,0.008042618,0.027310871
2001,12,16712.325,27.4,31250,1445090,0.011564903,0.021624951
2002,1,20275.5046,22.55,44933.15625,1447340,0.014008806,0.031045336
2002,2,16346.60572,25.3,45780.64516,1447340,0.01129424,0.031630885
2002,3,18077.44467,23.85,37866.66667,1447340,0.012490116,0.026162938
2002,4,13152.012,44.8,45400,1447340,0.009087023,0.031367889
2002,5,10469.45088,52.45,46026.66667,1447340,0.007233581,0.031800867
2002,6,6125.392,69.7,47050,1447340,0.004232172,0.032507911
2002,7,4590.2622,74.95,48240,1447340,0.003171516,0.033330109
2002,8,4406.0016,64.6,42731.03448,1447340,0.003044206,0.02952384
2002,9,6742.6695,64,46825,1447340,0.004658663,0.032352453
2002,10,13411.3698,42.3,46342.85714,1447340,0.009266219,0.03201933
2002,11,15307.6206,31.65,43800,1447340,0.010576382,0.030262412
2002,12,16122.17237,23.25,33818.18182,1447340,0.011139174,0.023365748
2003,1,22643.72042,14.7,45900,1447340,0.01564506,0.03171335
2003,2,20550.0341,16.1,46628.57143,1447340,0.014198484,0.032216737
2003,3,16432.24537,30.4,40426,1447340,0.011353411,0.027931239
2003,4,12829.56,43.95,45985.18519,1447340,0.008864234,0.031772206
2003,5,9670.1696,49.15,45742.85714,1447340,0.006681339,0.031604776
2003,6,6083.0792,65.85,45550,1447340,0.004202937,0.031471527
2003,7,4958.8,71.5,45200,1447340,0.003426147,0.031229704
2003,8,4109.72,72.1,44468.96552,1447340,0.002839499,0.030724616
2003,9,7895.8,61,44400,1447340,0.005455387,0.030676966
2003,10,11716.0428,49,44986.66667,1447340,0.008094879,0.031082307
2003,11,16207.7076,31.85,41694.11765,1447340,0.011198272,0.028807411
2003,12,17630.742,23.75,33058.06452,1447340,0.012181479,0.022840566
2004,1,26448.9678,12.1,44877.41935,1447340,0.018274191,0.031006826
2004,2,31438.8594,19.2,46048,1447340,0.02172182,0.031815607
2004,3,30034.249,35.05,39650,1447340,0.020751343,0.027395083
2004,4,11513.012,47,44309.67742,1447340,0.007954601,0.03061456
2004,5,9310.7048,55.8,41428.57143,1447340,0.006432977,0.028623939
2004,6,5987.7447,64.05,43500,1447340,0.004137068,0.030055136
2004,7,5088.6431,69.45,44619.35484,1447340,0.003515859,0.030828523
2004,8,4528.701,63.5,38993.54839,1447340,0.003128982,0.026941526
2004,9,6422.42,65.05,49213.7931,1447340,0.004437395,0.034002925
2004,10,11997.3,49.5,46593.10345,1447340,0.008289206,0.032192231
2004,11,14460.723,NA,42327.27273,1447340,0.009991241,0.029244872
2004,12,13791.82,22.45,33348.57143,1447340,0.009529081,0.023041284
2005,1,17742.9786,14.5,42400,1447340,0.012259026,0.029295121
2005,2,19169.252,25.1,44657.14286,1447340,0.013244471,0.030854632
2005,3,14978,28.55,39573.33333,1447340,0.01034864,0.027342113
2005,4,11119,49.1,45103.44828,1447340,0.007682369,0.031162994
2005,5,8690.235,NA,45842.42424,1447340,0.00600428,0.03167357
2005,6,5455.596,71.15,48772.41379,1447340,0.003769395,0.033697966
2005,7,4699.156,73.55,NA,1447340,0.003246753,NA
2005,8,5431.394,NA,NA,1447340,0.003752673,NA
