ID,species,region,range,size,height,logrange,logsize
1,Quercus alba L.,Atl,24196,1.4,27,10.0939426092268,0.3364722366212129
2,Quercus bicolor Willd.,Atl,7900,3.4,21,8.97461803845511,1.2237754316221157
3,Quercus macrocarpa Michx.,Atl,23038,9.1,25,10.0449003054865,2.2082744135228043
4,Quercus prinoides Willd.,Atl,17042,1.6,3,9.7434361643879,0.47000362924573563
5,Quercus Prinus L.,Atl,7646,10.5,24,8.94193791425636,2.3513752571634776
6,Quercus stellata Wang.,Atl,19938,2.5,17,9.90038273758265,0.9162907318741551
7,Quercus virginiana Mill,Atl,7985,0.9,15,8.98532006064911,-0.10536051565782628
8,Quercus Michauxii Nutt.,Atl,8897,6.8,0.3,9.09346942024477,1.916922612182061
9,Quercus lyrata Walt.,Atl,8982,1.8,24,9.10297785364768,0.5877866649021191
10,Quercus Laceyi Small.,Atl,233,0.3,11,5.4510384535657,-1.2039728043259361
11,Quercus Chapmanii Sarg.,Atl,1598,0.9,15,7.37650812632622,-0.10536051565782628
12,Quercus Durandii Buckl.,Atl,1745,0.8,23,7.46450983463653,-0.2231435513142097
13,Quercus Muehlenbergii Engelm,Atl,17042,2,24,9.7434361643879,0.6931471805599453
14,Quercus ilicifolia Wang.,Atl,4082,1.1,3,8.31434234336979,0.09531017980432493
15,Quercus incana Bartr.,Atl,3775,0.6,13,8.23615566168312,-0.5108256237659907
16,Quercus falcata Michx.,Atl,13688,1.8,30,9.52427481557203,0.5877866649021191
17,Quercus laevis Walt.,Atl,3978,4.8,9,8.28853445941392,1.5686159179138452
18,Quercus laurifolia Michx.,Atl,5328,1.1,27,8.58073121222023,0.09531017980432493
19,Quercus marilandica Muenchh.,Atl,18480,3.6,9,9.82444434519567,1.2809338454620642
20,Quercus nigra L.,Atl,10161,1.1,24,9.22631214148588,0.09531017980432493
21,Quercus palustris Muenchh.,Atl,8643,1.1,23,9.06450502375264,0.09531017980432493
22,Quercus Phellos L.,Atl,9920,3.6,27,9.20230820027892,1.2809338454620642
23,Quercus rubra L.,Atl,28389,8.1,24,10.2537570251763,2.0918640616783932
24,Quercus velutina Lam.,Atl,21067,3.6,23,9.95546311412647,1.2809338454620642
25,Quercus imbricaria Michx.,Atl,14870,1.8,18,9.6071010394542,0.5877866649021191
26,Quercus myrtifolia Willd.,Atl,2540,0.4,9,7.83991936001258,-0.916290731874155
27,Quercus texana Buckl.,Atl,829,1.1,9,6.7202201551353,0.09531017980432493
28,Quercus coccinea Muenchh.,Atl,8992,1.2,4,9.10409057213347,0.1823215567939546
29,Quercus Douglasii Hook. & Arn,Calif,559,4.1,18,6.3261494731551,1.410986973710262
30,Quercus dumosa Nutt.,Calif,433,1.6,6,6.07073772800249,0.47000362924573563
31,Quercus Engelmannii Greene,Calif,259,2,17,5.55682806169954,0.6931471805599453
32,Quercus Garryana Hook.,Calif,1061,5.5,20,6.96696713861398,1.7047480922384253
33,Quercus lobata Nee,Calif,870,5.9,30,6.76849321164863,1.7749523509116738
34,Quercus agrifolia Nee.,Calif,803,2.6,23,6.68835471394676,0.9555114450274363
35,Quercus Kelloggii Newb.,Calif,826,6,26,6.71659477352098,1.791759469228055
36,Quercus Wislizenii A. DC.,Calif,699,1,21,6.54965074223381,0
37,Quercus chrysolepis Liebm.,Calif,690,17.1,15,6.5366915975913,2.8390784635086144
38,Quercus vaccinifolia Engelm.,Calif,223,0.4,1,5.40717177146012,-0.916290731874155
39,Quercus tomentella Engelm,Calif,13,7.1,18,2.56494935746154,1.9600947840472698
