"year","imdb","title","test","clean_test","binary","budget","domgross","intgross","code","budget_2013","domgross_2013","intgross_2013","period_code","decade_code","int_only","roi_total","roi_dom","roi_int"
2013,"tt1711425","21 & Over","notalk","notalk","FAIL",13000000,25682380,42195766,"2013FAIL",13000000,25682380,42195766,1,1,16513386,3.24582815384615,1.97556769230769,1.27026046153846
2012,"tt1343727","Dredd 3D","ok-disagree","ok","PASS",45000000,13414714,40868994,"2012PASS",45658735,13611086,41467257,1,1,27856171,0.90819986580881,0.298104754763793,0.610095111045017
2013,"tt2024544","12 Years a Slave","notalk-disagree","notalk","FAIL",20000000,53107035,158607035,"2013FAIL",20000000,53107035,158607035,1,1,105500000,7.93035175,2.65535175,5.275
2013,"tt1272878","2 Guns","notalk","notalk","FAIL",61000000,75612460,132493015,"2013FAIL",61000000,75612460,132493015,1,1,56880555,2.17201663934426,1.23954852459016,0.932468114754098
2013,"tt0453562","42","men","men","FAIL",40000000,95020213,95020213,"2013FAIL",40000000,95020213,95020213,1,1,0,2.375505325,2.375505325,0
2013,"tt1335975","47 Ronin","men","men","FAIL",225000000,38362475,145803842,"2013FAIL",225000000,38362475,145803842,1,1,107441367,0.648017075555556,0.170499888888889,0.477517186666667
2013,"tt1606378","A Good Day to Die Hard","notalk","notalk","FAIL",92000000,67349198,304249198,"2013FAIL",92000000,67349198,304249198,1,1,236900000,3.3070565,0.7320565,2.575
2013,"tt2194499","About Time","ok-disagree","ok","PASS",12000000,15323921,87324746,"2013PASS",12000000,15323921,87324746,1,1,72000825,7.27706216666667,1.27699341666667,6.00006875
2013,"tt1814621","Admission","ok","ok","PASS",13000000,18007317,18007317,"2013PASS",13000000,18007317,18007317,1,1,0,1.38517823076923,1.38517823076923,0
2013,"tt1815862","After Earth","notalk","notalk","FAIL",130000000,60522097,244373198,"2013FAIL",130000000,60522097,244373198,1,1,183851101,1.87979383076923,0.465554592307692,1.41423923846154
2013,"tt1800241","American Hustle","ok-disagree","ok","PASS",40000000,148430908,249484909,"2013PASS",40000000,148430908,249484909,1,1,101054001,6.237122725,3.7107727,2.526350025
2013,"tt1322269","August: Osage County","ok","ok","PASS",25000000,37304874,50304874,"2013PASS",25000000,37304874,50304874,1,1,1.3e+07,2.01219496,1.49219496,0.52
2013,"tt1559547","Beautiful Creatures","ok","ok","PASS",50000000,19452138,55940671,"2013PASS",50000000,19452138,55940671,1,1,36488533,1.11881342,0.38904276,0.72977066
2013,"tt2334873","Blue Jasmine","ok-disagree","ok","PASS",18000000,33345833,68447831,"2013PASS",18000000,33345833,68447831,1,1,35101998,3.80265727777778,1.85254627777778,1.950111
2013,"tt1535109","Captain Phillips","notalk","notalk","FAIL",55000000,107136417,218743570,"2013FAIL",55000000,107136417,218743570,1,1,111607153,3.97715581818182,1.94793485454545,2.02922096363636
2013,"tt1939659","Carrie","ok","ok","PASS",30000000,35266619,85001659,"2013PASS",30000000,35266619,85001659,1,1,49735040,2.83338863333333,1.17555396666667,1.65783466666667
2013,"tt1985966","Cloudy with a Chance of Meatballs 2","nowomen-disagree","nowomen","FAIL",78000000,119640264,271725448,"2013FAIL",78000000,119640264,271725448,1,1,152085184,3.48365958974359,1.53384953846154,1.94981005128205
2013,"tt1690953","Despicable Me 2","ok","ok","PASS",76000000,368065385,970766005,"2013PASS",76000000,368065385,970766005,1,1,602700620,12.7732369078947,4.84296559210526,7.93027131578947
2013,"tt2229499","Don Jon","dubious-disagree","dubious","FAIL",5500000,24477704,26377704,"2013FAIL",5500000,24477704,26377704,1,1,1900000,4.79594618181818,4.45049163636364,0.345454545454545
2013,"tt1535108","Elysium","ok-disagree","ok","PASS",120000000,93050117,286192091,"2013PASS",120000000,93050117,286192091,1,1,193141974,2.38493409166667,0.775417641666667,1.60951645
2013,"tt1731141","Ender's Game","men","men","FAIL",110000000,61737191,89737191,"2013FAIL",110000000,61737191,89737191,1,1,2.8e+07,0.815792645454545,0.561247190909091,0.254545454545455
2013,"tt0848537","Epic","ok-disagree","ok","PASS",100000000,107518682,268418682,"2013PASS",100000000,107518682,268418682,1,1,160900000,2.68418682,1.07518682,1.609
2013,"tt0765446","Escape from Planet Earth","ok","ok","PASS",40000000,57012977,66454811,"2013PASS",40000000,57012977,66454811,1,1,9441834,1.661370275,1.425324425,0.23604585
2013,"tt1211956","Escape Plan","men","men","FAIL",70000000,25213103,103813103,"2013FAIL",70000000,25213103,103813103,1,1,78600000,1.48304432857143,0.360187185714286,1.12285714285714
2013,"tt1288558","Evil Dead","ok-disagree","ok","PASS",17000000,54239856,97402049,"2013PASS",17000000,54239856,97402049,1,1,43162193,5.72953229411765,3.19057976470588,2.53895252941176
2013,"tt1905041","Fast and Furious 6","ok-disagree","ok","PASS",160000000,238679850,788128122,"2013PASS",160000000,238679850,788128122,1,1,549448272,4.9258007625,1.4917490625,3.4340517
2013,"tt2294629","Frozen","ok","ok","PASS",150000000,393050114,1004550114,"2013PASS",150000000,393050114,1004550114,1,1,611500000,6.69700076,2.62033409333333,4.07666666666667
2013,"tt1583421","G.I. Joe: Retaliation","ok-disagree","ok","PASS",140000000,122523060,371923060,"2013PASS",140000000,122523060,371923060,1,1,249400000,2.65659328571429,0.875164714285714,1.78142857142857
2013,"tt1321870","Gangster Squad","notalk","notalk","FAIL",60000000,46000903,104100903,"2013FAIL",60000000,46000903,104100903,1,1,58100000,1.73501505,0.766681716666667,0.968333333333333
2013,"tt2425486","Gloria","ok","ok","PASS",30000000,4167493,4967493,"2013PASS",30000000,4167493,4967493,1,1,8e+05,0.1655831,0.138916433333333,0.0266666666666667
2013,"tt1454468","Gravity","nowomen-disagree","nowomen","FAIL",110000000,271814796,708714796,"2013FAIL",110000000,271814796,708714796,1,1,436900000,6.44286178181818,2.4710436,3.97181818181818
2013,"tt2191701","Grown Ups 2","men-disagree","men","FAIL",80000000,133668525,247023808,"2013FAIL",80000000,133668525,247023808,1,1,113355283,3.0877976,1.6708565625,1.4169410375
2013,"tt1428538","Hansel & Gretel: Witch Hunters","ok","ok","PASS",50000000,55703475,225703475,"2013PASS",50000000,55703475,225703475,1,1,1.7e+08,4.5140695,1.1140695,3.4
2013,"tt1798709","Her","men-disagree","men","FAIL",23000000,25000178,33029713,"2013FAIL",23000000,25000178,33029713,1,1,8029535,1.43607447826087,1.08696426086957,0.349110217391304
2013,"tt2024432","Identity Thief","men-disagree","men","FAIL",35000000,134506920,176269721,"2013FAIL",35000000,134506920,176269721,1,1,41762801,5.03627774285714,3.84305485714286,1.19322288571429
2013,"tt2226417","Insidious: Chapter 2","men","men","FAIL",5000000,83586447,161911222,"2013FAIL",5000000,83586447,161911222,1,1,78324775,32.3822444,16.7172894,15.664955
2013,"tt1300854","Iron Man 3","dubious-disagree","dubious","FAIL",200000000,408992272,1212692272,"2013FAIL",200000000,408992272,1212692272,1,1,803700000,6.06346136,2.04496136,4.0185
2013,"tt1351685","Jack the Giant Slayer","nowomen-disagree","nowomen","FAIL",195000000,65187603,197387603,"2013FAIL",195000000,65187603,197387603,1,1,132200000,1.01224411794872,0.3342954,0.677948717948718
2013,"tt1650554","Kick-Ass 2","ok","ok","PASS",28000000,28795985,60839197,"2013PASS",28000000,28795985,60839197,1,1,32043212,2.17282846428571,1.02842803571429,1.14440042857143
