"d","s","y","spp"
9,0.0217509,0,"balsam fir"
14,0.0217509,0,"balsam fir"
18,0.0217509,0,"balsam fir"
23,0.0217509,0,"balsam fir"
9,0.0217509,0,"balsam fir"
16,0.0217509,0,"balsam fir"
10,0.0217509,0,"red pine"
5,0.024212,0,"balsam fir"
6,0.024212,0,"balsam fir"
9,0.024212,0,"balsam fir"
6,0.024212,0,"balsam fir"
9,0.024212,0,"balsam fir"
21,0.024212,0,"balsam fir"
12,0.024212,0,"balsam fir"
13,0.024212,0,"balsam fir"
14,0.024212,0,"balsam fir"
6,0.024212,0,"balsam fir"
9,0.024212,0,"black spruce"
7,0.0278677,0,"balsam fir"
5,0.0278677,0,"balsam fir"
6,0.0278677,0,"balsam fir"
6,0.0278677,0,"balsam fir"
28,0.0278677,0,"jackpine"
6,0.0278677,0,"jackpine"
11,0.0305947,0,"black spruce"
9,0.0305947,0,"black spruce"
35,0.0305947,0,"jackpine"
21,0.0305947,0,"jackpine"
20,0.0305947,0,"jackpine"
25,0.0305947,0,"jackpine"
34,0.0305947,0,"jackpine"
18,0.0305947,0,"jackpine"
14,0.0305947,0,"jackpine"
25,0.0305947,0,"jackpine"
25,0.0305947,0,"jackpine"
28,0.0305947,0,"jackpine"
19,0.0305947,0,"jackpine"
10,0.0305947,0,"red pine"
15,0.0323448,0,"balsam fir"
9,0.0323448,0,"balsam fir"
9,0.0323448,0,"balsam fir"
15,0.0323448,0,"balsam fir"
10,0.0323448,0,"balsam fir"
10,0.0323448,0,"balsam fir"
16,0.0323448,0,"balsam fir"
25,0.0323448,0,"jackpine"
16,0.0323448,0,"jackpine"
19,0.0323448,0,"jackpine"
26,0.0323448,0,"jackpine"
31,0.0323448,0,"jackpine"
9,0.0341815,0,"black spruce"
5,0.0341815,0,"black spruce"
8,0.0341815,0,"black spruce"
8,0.0341815,0,"black spruce"
6,0.0341815,0,"black spruce"
8,0.0341815,0,"black spruce"
5,0.0341815,0,"black spruce"
33,0.0341815,0,"jackpine"
19,0.0341815,0,"jackpine"
37,0.0341815,0,"paper birch"
22,0.0345653,0,"black spruce"
20,0.0345653,0,"red pine"
24,0.037267,1,"aspen"
10,0.037267,0,"red maple"
10,0.037267,1,"red maple"
5,0.0398276,0,"jackpine"
25,0.0398276,1,"jackpine"
5,0.0398276,0,"jackpine"
16,0.0398276,0,"jackpine"
14,0.0398276,0,"jackpine"
16,0.0398276,0,"jackpine"
12,0.0398276,0,"jackpine"
7,0.0398276,0,"red pine"
6,0.0398276,0,"red pine"
6,0.0398276,0,"red pine"
8,0.0398276,0,"red pine"
6,0.0461334,0,"black spruce"
13,0.0479708,0,"cedar"
20,0.0479708,0,"jackpine"
22,0.0479708,0,"jackpine"
27,0.0479708,0,"jackpine"
8,0.0514511,0,"black spruce"
22,0.0514511,0,"jackpine"
21,0.0514511,0,"jackpine"
12,0.0514511,0,"red pine"
15.5,0.0521484,0,"red pine"
17,0.0521484,0,"red pine"
15,0.0521484,0,"red pine"
16,0.0521484,0,"red pine"
21,0.0525153,0,"cedar"
26,0.0525153,0,"cedar"
38,0.0525153,0,"jackpine"
31,0.0536769,1,"black ash"
17,0.054777,0,"aspen"
12,0.054777,0,"aspen"
8,0.054777,0,"black spruce"
9,0.054777,0,"black spruce"
10,0.054777,0,"black spruce"
14,0.054777,0,"red pine"
7,0.0552361,0,"black spruce"
22,0.0563668,0,"aspen"
45,0.0563668,0,"black ash"
14,0.0571445,1,"paper birch"
30,0.0571445,1,"paper birch"
30,0.0571445,1,"paper birch"
16,0.0571445,1,"paper birch"
13,0.0571445,1,"red pine"
14,0.0571646,1,"paper birch"
18,0.0571646,1,"paper birch"
17,0.0571646,1,"paper birch"
14,0.0571646,1,"paper birch"
14,0.0571646,1,"paper birch"
13,0.0571646,1,"paper birch"
18,0.0571646,1,"paper birch"
14,0.0575282,0,"black spruce"
15,0.0575282,0,"black spruce"
17,0.0575282,0,"black spruce"
12,0.0575282,0,"black spruce"
14,0.0575282,0,"red pine"
10.5,0.0575282,0,"red pine"
11.5,0.0575282,0,"red pine"
21,0.0575282,0,"red pine"
19,0.0575282,0,"red pine"
19,0.0597874,0,"cedar"
6,0.0649814,0,"cedar"
8,0.0649814,0,"cedar"
9,0.0649814,0,"cedar"
18,0.0649814,0,"cedar"
10,0.0649814,0,"cedar"
13,0.0649814,0,"cedar"
11,0.0649814,0,"cedar"
10,0.0649814,0,"cedar"
34,0.0649814,0,"black ash"
15,0.0662406,1,"cedar"
22,0.0662406,1,"paper birch"
20,0.0662406,1,"paper birch"
23,0.0662406,0,"paper birch"
24.5,0.0662406,0,"paper birch"
20,0.0678602,0,"cedar"
34,0.0678602,0,"cedar"
12,0.0678602,0,"red maple"
17,0.0678602,0,"red maple"
8,0.0687957,0,"black spruce"
37,0.0687957,0,"paper birch"
21,0.0687957,0,"paper birch"
5,0.0687957,0,"red maple"
6,0.0687957,0,"red maple"
12,0.068874,1,"aspen"
25,0.068874,1,"aspen"
25,0.068874,1,"aspen"
25,0.068874,1,"aspen"
14,0.0693424,0,"black spruce"
12,0.0693424,0,"black spruce"
16,0.0693424,0,"cedar"
15,0.0693424,0,"cedar"
17,0.0693424,0,"red maple"
16,0.0693424,0,"red maple"
16,0.0693424,0,"red maple"
11,0.0693424,0,"red maple"
22,0.0697707,0,"aspen"
24,0.0697707,0,"paper birch"
10,0.071072,0,"aspen"
18,0.071072,0,"black spruce"
13,0.071072,0,"black spruce"
8,0.071072,0,"red pine"
8.5,0.071072,0,"red pine"
37.5,0.0712564,0,"aspen"
23,0.0723925,0,"paper birch"
5,0.0723925,0,"red pine"
8,0.0726807,0,"black spruce"
7,0.0726807,0,"black spruce"
11,0.0726807,0,"cedar"
14,0.0726807,1,"cedar"
21,0.0726807,0,"cedar"
11,0.0726807,1,"red pine"
