wine,price,parker,coates,p95,first.growth,cult,pomerol,superstar
Lafite,2850,100,19.5,1,Yes,No,No,No
Latour,2850,98,18.5,1,Yes,No,No,No
Margaux,2900,100,19.5,1,Yes,No,No,No
Mouton,2500,97,17,1,Yes,No,No,No
Haut Brion,2500,98,18.5,1,Yes,No,No,No
Cheval Blanc,3650,100,19.5,1,Yes,No,No,No
Ausone,4200,100,18.5,1,Yes,No,No,Yes
Petrus,10500,100,18.5,1,Yes,Yes,No,No
Pichon-Lalande,880,97,16.5,1,No,No,No,No
Pichon-Baron,550,96,17.5,1,No,No,No,No
Duhart-Milon,210,90,16,0,No,No,No,No
Batailley,150,87,15.5,0,No,No,No,No
Haut-Batailley,180,90,16.5,0,No,No,No,No
Grand-Puy-Lacoste,380,92,18,0,No,No,No,No
Lynch-Bages,620,95,16,1,No,No,No,No
Pontet-Canet,330,92,16.5,0,No,No,No,No
D'Armailhac,210,91,15.5,0,No,No,No,No
Clerc-Millon,225,91,16,0,No,No,No,No
Leoville-Las-Cases,1300,100,18.5,1,No,No,No,No
Leoville-Poyferre,465,95,17.5,1,No,No,No,No
Leoville-Barton,780,96,18.5,1,No,No,No,No
Gruaud-Larose,520,94,17,0,No,No,No,No
Ducru-Beaucaillou,680,94,18.5,0,No,No,No,No
Lagrange,260,93,15,0,No,No,No,No
Langoa-Barton,240,91,17,0,No,No,No,No
Saint-Pierre,180,89,16.5,0,No,No,No,No
Talbot,330,90,17,0,No,No,No,No
Beychevelle,240,91,16.5,0,No,No,No,No
Rauzan-Segla,420,90,17.5,0,No,No,No,No
Durfort-Vivens,180,88,17,0,No,No,No,No
Lascombes,230,90,17,0,No,No,No,No
Brane-Cantenac,255,92,16.5,0,No,No,No,No
Malescot,275,92,18,0,No,No,No,No
Palmer,900,95,18,1,No,No,No,No
Prieure-Lichine,180,88,15,0,No,No,No,No
Montrose,560,97,17.5,1,No,No,No,No
Calon-Segur,500,95,17.5,1,No,No,No,No
Haut-Marbuzet,225,87,17,0,No,No,No,No
Haut-Bailly,265,90,17.5,0,No,No,No,No
Domaine de Chevalier,260,90,18,0,No,No,No,No
La Mission Haut-Brion,2500,100,18,1,No,No,No,Yes
Pape-Clement,380,95,17,1,No,No,No,No
La Tour Haut-Brion,310,92,17,0,No,No,No,No
Angelus,980,96,18,1,Yes,No,No,No
Beau-Sejour-Becot,380,93,17,0,No,No,No,No
Beausejour,450,92,17.5,0,No,No,No,No
Belair,250,87,16.5,0,No,No,No,No
Canon,360,89,18,0,No,No,No,No
Clos Fourtet,325,90,15,0,No,No,No,No
Figeac,520,93,18,0,No,No,No,No
La Gaffeliere,280,90,15.5,0,No,No,No,No
Magdelaine,350,92,18,0,No,No,No,No
Pavie,1600,100,14.5,1,Yes,No,No,No
Trottevieille,250,89,15,0,No,No,No,No
La Mondotte,2400,98,18,1,No,Yes,No,No
Troplong-Mondot,450,96,17.5,1,No,No,No,No
Pavie-Macquin,520,95,17.5,1,No,No,No,No
Tertre-Roteboeuf,1300,96,17.5,1,No,No,No,No
De Valandraud,1620,93,16.5,0,No,Yes,No,No
Trotanoy,800,92,18.5,0,No,No,Yes,No
La Fleur-Petrus,500,95,18,1,No,No,Yes,No
Latour-a-Pomerol,350,91,17.5,0,No,No,Yes,No
Vieux. Ch. Certan,840,94,18,0,No,No,Yes,No
Certran de May,550,91,16,0,No,No,Yes,No
La Conseillante,1250,96,17.5,1,No,No,Yes,No
L'Evangile,1500,96,18,1,No,No,Yes,No
Le Pin,10500,98,17.5,1,No,Yes,Yes,No
Lafleur,5000,100,18,1,No,Yes,Yes,No
Gazin,300,90,16,0,No,No,Yes,No
Clinet,700,92,15.5,0,No,No,Yes,No
L'Eglise-Clinet,1400,96,18,1,No,No,Yes,No
Clos L'Eglise,1220,96,17,1,No,No,Yes,No
