school,cost
Alabama A & M University,23445
University of Alabama at Birmingham,25542
University of Alabama in Huntsville,24861
Alabama State University,21892
The University of Alabama,30016
Auburn University at Montgomery,20225
Auburn University,32196
Birmingham-Southern College,32514
Faulkner University,34835
Huntingdon College,37483
Jacksonville State University,21560
Judson College,32380
University of West Alabama,22645
Miles College,22684
University of Mobile,36890
University of Montevallo,26018
University of North Alabama,21502
Oakwood University,37764
Samford University,49634
University of South Alabama,21694
Spring Hill College,55844
Stillman College,27665
Talladega College,24220
Troy University,21251
Tuskegee University,40750
University of Alaska Anchorage,18946
Alaska Bible College,25250
University of Alaska Fairbanks,19135
Alaska Pacific University,34350
Arizona State University Campus Immersion,27056
University of Arizona,27461
Embry-Riddle Aeronautical University-Prescott,54536
Northern Arizona University,27969
Prescott College,43649
Arizona Christian University,44585
University of Arkansas at Little Rock,20416
Lyon College,41396
University of Arkansas,23997
University of Arkansas at Pine Bluff,19541
Arkansas State University,23009
Arkansas Tech University,19361
University of Central Arkansas,23185
Central Baptist College,26390
Crowley's Ridge College,23348
Harding University,31647
Henderson State University,23005
Hendrix College,64046
John Brown University,40774
Ouachita Baptist University,40200
University of the Ozarks,34832
Philander Smith College,26178
Williams Baptist University,30063
Southern Arkansas University Main Campus,23044
University of Arkansas-Fort Smith,17288
Art Center College of Design,66046
Azusa Pacific University,56802
Bethesda University,22453
Biola University,58012
California Baptist University,48731
California College of the Arts,68956
California Institute of Technology,74763
California Lutheran University,60668
California Polytechnic State University-San Luis Obispo,28927
California State University-Bakersfield,18661
California State University-Stanislaus,17424
California State University-San Bernardino,19114
California State Polytechnic University-Pomona,22365
California State University-Chico,25073
California State University-Dominguez Hills,15019
California State University-Fresno,17683
California State University-Fullerton,17791
California State University-East Bay,23357
California State University-Long Beach,19846
California State University-Los Angeles,15307
California State University-Northridge,19794
California State University-Sacramento,21576
University of California-Berkeley,39016
University of California-Davis,35532
University of California-Irvine,34355
University of California-Los Angeles,35497
University of California-Riverside,30561
University of California-San Diego,33240
University of California-Santa Barbara,36492
University of California-Santa Cruz,35925
California Christian College,15210
California Institute of the Arts,74111
California State University Maritime Academy,28149
Chapman University,74336
Concordia University-Irvine,53235
San Diego Christian College,47755
Claremont McKenna College,76475
Columbia College Hollywood,35331
Dominican University of California,67366
Fresno Pacific University,43317
Harvey Mudd College,79539
Holy Names University,57486
California State Polytechnic University-Humboldt,24991
Humphreys University-Stockton and Modesto Campuses,21249
Life Pacific University,29158
University of La Verne,60759
Laguna College of Art and Design,50805
La Sierra University,45629
The Master's University and Seminary,40783
Loyola Marymount University,70235
Marymount California University,51791
Menlo College,62162
Mills College,48360
Mount Saint Mary's University,57689
National University,26208
Occidental College,76600
Otis College of Art and Design,66695
Hope International University,46231
Pacific Union College,44714
University of the Pacific,64784
Pepperdine University,75312
Pitzer College,75850
