Country,LE,TV,Doctors
Argentina,70.5,0.25,0.002702702
Bangladesh,53.5,0.003174604,1.6218e-4
Brazil,65,0.25,0.001461989
Canada,76.5,0.588235296,0.002227172
China,70,0.125,0.00155521
Colombia,71,0.178571431,6.44746e-4
Egypt,60.5,0.066666667,0.001623377
Ethiopia,51.5,0.001988072,2.72776e-5
France,78,0.384615381,0.00248139
Germany,76,0.384615381,0.002890173
India,57.5,0.022727272,4.04694e-4
Indonesia,61,0.041666669,1.34644e-4
Iran,64.5,0.043478259,3.34225e-4
Italy,78.5,0.263157899,0.004291846
Japan,79,0.555555552,0.001642036
Kenya,61,0.010416666,1.3132e-4
Korea-North,70,0.011111112,0.002702702
Korea-South,70,0.204081631,9.38086e-4
Mexico,72,0.15151515,0.001666667
Morocco,64.5,0.047619048,2.05213e-4
Myanmar(Burma),54.5,0.001689189,2.86944e-4
Pakistan,56.5,0.013698631,4.23012e-4
Peru,64.5,0.07142857,9.84252e-4
Philippines,64.5,0.113636363,9.4162e-4
Poland,73,0.256410253,0.002083334
Romania,72,0.166666666,0.001788908
Russia,69,0.312499995,0.003861004
South_Africa,64,0.090909088,7.46269e-4
Spain,78.5,0.384615381,0.003636364
Sudan,53,0.043478259,7.96813e-5
Taiwan,75,0.312499995,0.001036269
Tanzania,52.5,NA,3.9637e-5
Thailand,68.5,0.090909088,2.04792e-4
Turkey,70,0.200000004,8.41043e-4
Ukraine,70.5,0.333333334,0.004424779
United_Kingdom,76,0.333333334,0.001636661
United_States,75.5,0.76923077,0.002475248
Venezuela,74.5,0.178571431,0.001736111
Vietnam,65,0.034482759,3.22997e-4
Zaire,54,NA,4.31164e-5
