unitid,school,type,city,state,region,admission_rate,act,undergrads,cost,grad_rate,fy_retention,fedloan
228343,Southwestern University,private,Georgetown,TX,Southwest,0.4903,26,1507,55886,0.6945,0.8571,0.5105
177719,Barnes-Jewish College Goldfarb School of Nursing,private,Saint Louis,MO,Plains,NA,NA,569,NA,NA,NA,0.8185
367884,Hodges University,private,Fort Myers,FL,Southeast,0.6121,NA,832,27425,0.2621,0.4783,0.6213
149781,Wheaton College,private,Wheaton,IL,Great Lakes,0.8481,29,2358,49214,0.8878,0.9262,0.4902
135364,Luther Rice College & Seminary,private,Lithonia,GA,Southeast,0.5,NA,235,NA,0.5,NA,0.5529
212601,Gannon University,private,Erie,PA,Mid East,0.7552,23,2866,44896,0.677,0.8217,0.5524
133979,Florida Memorial University,private,Miami Gardens,FL,Southeast,0.3999,NA,1049,27460,0.3644,0.6355,0.6755
117140,University of La Verne,private,La Verne,CA,Far West,0.5482,22,4516,58014,0.7325,0.8179,0.6186
152567,Trine University,private,Angola,IN,Great Lakes,0.8157,25,2120,46440,0.6334,0.7551,0.3542
237057,Whitman College,private,Walla Walla,WA,Far West,0.5592,31,1545,68082,0.8977,0.8944,0.402
488679,Indiana Wesleyan University-National & Global,private,Marion,IN,Great Lakes,NA,NA,6859,27500,0.382,NA,0.6038
214883,Peirce College,private,Philadelphia,PA,Mid East,NA,NA,1084,18260,0.4167,0.5,0.7298
155973,Tabor College,private,Hillsboro,KS,Plains,0.5591,20,519,43760,0.4277,0.5521,0.7165
162210,Washington Adventist University,private,Takoma Park,MD,Mid East,0.5877,20,819,32262,0.408,0.6,0.6365
157377,Midway University,private,Midway,KY,Southeast,0.5964,21,1117,40606,0.443,0.6863,0.6972
209612,Pacific University,private,Forest Grove,OR,Far West,0.8661,23,1768,59490,0.6874,0.8052,0.8358
492962,Indiana Institute of Technology-College of Professional Studies,private,Fort Wayne,IN,Great Lakes,NA,NA,3905,22379,0.1593,0.4337,0.7741
217721,Benedict College,private,Columbia,SC,Southeast,0.7677,17,2034,27927,0.2445,0.556,0.7782
150145,Bethel University,private,Mishawaka,IN,Great Lakes,0.9376,22,1174,39577,0.6747,0.6441,0.6405
439446,Atlantic Institute of Oriental Medicine,private,Fort Lauderdale,FL,Southeast,NA,NA,39,NA,NA,NA,0.8857
203085,Heidelberg University,private,Tiffin,OH,Great Lakes,0.7483,21,1042,43809,0.5086,0.7173,0.8304
392840,Watkins College of Art Design & Film,private,Nashville,TN,Southeast,0.5818,22,150,37876,0.4182,0.5714,0.5924
173902,Macalester College,private,Saint Paul,MN,Plains,0.3227,31,2079,68627,0.9079,0.934,0.4609
188641,Alfred University,private,Alfred,NY,Mid East,0.6245,23,1668,44856,0.5738,0.7277,0.7211
227757,Rice University,private,Houston,TX,Southwest,0.0872,34,3978,65150,0.9261,0.9769,0.1295
213321,King's College,private,Wilkes-Barre,PA,Mid East,0.8094,NA,2092,51077,0.636,0.7205,0.7074
117575,Southern California Seminary,private,El Cajon,CA,Far West,NA,NA,43,36213,0,1,0.36
237312,University of Charleston,private,Charleston,WV,Southeast,0.5004,22,1893,43042,0.3838,0.6486,0.456
102058,Selma University,private,Selma,AL,Southeast,NA,NA,310,12510,0.0179,0.3265,0.9598
174437,North Central University,private,Minneapolis,MN,Plains,0.8989,21,955,36349,0.5122,0.8,0.6407
129534,Holy Apostles College and Seminary,private,Cromwell,CT,New England,NA,NA,174,12820,NA,1,0.2349
231420,Averett University,private,Danville,VA,Southeast,0.6495,18,884,46388,0.4213,0.6838,0.7586
105899,Arizona Christian University,private,Glendale,AZ,Southwest,0.6793,18,803,39360,0.5,0.5621,0.5696
165167,Cambridge College,private,Boston,MA,New England,NA,NA,698,30088,0.0833,0.2222,0.6
207458,Oklahoma City University,private,Oklahoma City,OK,Southwest,0.7464,26,1583,43184,0.6441,0.8311,0.4956
204264,Muskingum University,private,New Concord,OH,Great Lakes,0.8062,21,1505,41121,0.5274,0.7236,0.7843
192749,Manhattanville College,private,Purchase,NY,Mid East,0.9025,NA,1504,51842,0.6043,0.699,0.4881
140553,Morehouse College,private,Atlanta,GA,Southeast,0.998,20,2238,48406,0.5424,0.8295,0.6591
475200,Whitworth University-Adult Degree Programs,private,Spokane,WA,Far West,1,NA,275,NA,NA,NA,0.7143
