"TS","BodyWt","D","Species"
3.3,6654,3,"African_elephant"
8.3,1,3,"African_giant_pouched_rat"
12.5,3.385,1,"Arctic_Fox"
16.5,0.92,3,"Arctic_ground_squirrel"
3.9,2547,4,"Asian_elephant"
9.8,10.55,4,"Baboon"
19.7,0.023,1,"Big_brown_bat"
6.2,160,4,"Brazilian_tapir"
14.5,3.3,1,"Cat"
9.7,52.16,1,"Chimpanzee"
12.5,0.425,4,"Chinchilla"
3.9,465,5,"Cow"
10.3,0.55,2,"Desert_hedgehog"
3.1,187.1,5,"Donkey"
8.4,0.075,1,"Eastern_American_mole"
8.6,3,2,"Echidna"
10.7,0.785,2,"European_hedgehog"
10.7,0.2,2,"Galago"
6.1,1.41,1,"Genet"
18.1,60,1,"Giant_armadillo"
NA,529,5,"Giraffe"
3.8,27.66,5,"Goat"
14.4,0.12,2,"Golden_hamster"
12,207,1,"Gorilla"
6.2,85,1,"Gray_seal"
13,36.33,1,"Gray_wolf"
13.8,0.101,3,"Ground_squirrel"
8.2,1.04,4,"Guinea_pig"
2.9,521,5,"Horse"
10.8,100,1,"Jaguar"
NA,35,4,"Kangaroo"
9.1,0.005,4,"Lesser_short-tailed_shrew"
19.9,0.01,1,"Little_brown_bat"
8,62,1,"Human"
10.6,0.122,1,"Mole_rat"
11.2,1.35,3,"Mountain_beaver"
13.2,0.023,3,"Mouse"
12.8,0.048,3,"Musk_shrew"
19.4,1.7,1,"N._American_opossum"
17.4,3.5,1,"Nine-banded_armadillo"
NA,250,5,"Okapi"
17,0.48,2,"Owl_monkey"
10.9,10,4,"Patas_monkey"
13.7,1.62,2,"Phanlanger"
8.4,192,4,"Pig"
8.4,2.5,5,"Rabbit"
12.5,4.288,2,"Raccoon"
13.2,0.28,3,"Rat"
9.8,4.235,1,"Red_fox"
9.6,6.8,2,"Rhesus_monkey"
6.6,0.75,2,"Rock_hyrax_(Hetero._b)"
5.4,3.6,3,"Rock_hyrax_(Procavia_hab)"
2.6,14.83,5,"Roe_deer"
3.8,55.5,5,"Sheep"
11,1.4,2,"Slow_loris"
10.3,0.06,2,"Star-nosed_mole"
13.3,0.9,2,"Tenrec"
5.4,2,3,"Tree_hyrax"
15.8,0.104,2,"Tree_shrew"
10.3,4.19,4,"Vervet"
19.4,3.5,1,"Water_opossum"
NA,4.05,1,"Yellow-bellied_marmot"
