id,name,artist,popularity,album.id,album.name,album.release_date,playlist_id,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),Camila Cabello,80,4urxMitPAkjyey14LeuWSX,Familia,2022-04-07,6gS3HhOiI17QNojjPuPzqc,pop,0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,206071
0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,93,4LVa9bljQRvLYpWr8qyaXs,Takin' It Back,2022-10-21,6gS3HhOiI17QNojjPuPzqc,pop,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-6,0.0771,0.884,144.981,134256
0XER3HPMx223xWaAgNKp4Y,My Mind & Me,Selena Gomez,84,5quJSeTB33tFzfp2EZx9z5,My Mind & Me,2022-11-03,6gS3HhOiI17QNojjPuPzqc,pop,0.6,0.389,9,-5.727,1,0.0337,0.566,0,0.0826,0.244,143.577,147597
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),Julia Michaels,81,1xJ7jIK1tT0aVoJw1fPE6r,Inner Monologue Part 1,2019-01-24,6gS3HhOiI17QNojjPuPzqc,pop,0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,173307
0wI7QkCcs8FUQE1OkXUIqd,Scars To Your Beautiful,Alessia Cara,78,7HnbhIDKXIBhMR4EPGuMgu,Know-It-All,2015-11-13,6gS3HhOiI17QNojjPuPzqc,pop,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,230240
76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,80,3Wv4X8OA65pGpFzBkuUgAh,DNCE,2016-11-18,6gS3HhOiI17QNojjPuPzqc,pop,0.774,0.753,4,-5.446,0,0.0517,0.152,0,0.0371,0.896,119.002,219147
3uwnnTQcHM1rDqSfA4gQNz,Cool for the Summer,Demi Lovato,79,56yYgfX6M5FlpETfyZSHkn,Confident,2015-01-01,6gS3HhOiI17QNojjPuPzqc,pop,0.583,0.61,5,-5.639,0,0.0382,0.00425,1.05e-4,0.14,0.336,114.06,214740
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Halsey,80,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,6gS3HhOiI17QNojjPuPzqc,pop,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-6,0.0936,0.533,136.041,201661
1l4iQsOZ5sOXZPMQLvouaB,Coast (feat. Anderson .Paak),Hailee Steinfeld,77,0152qvGv0mmX2vU36Rocng,Coast,2022-07-29,6gS3HhOiI17QNojjPuPzqc,pop,0.701,0.875,11,-4.1,1,0.0757,0.0262,7.32e-6,0.137,0.84,111.976,166720
3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,78,20Ol6zZ0nLlc5EGTH1zA0j,Delirium (Deluxe),2015-11-06,6gS3HhOiI17QNojjPuPzqc,pop,0.262,0.606,8,-6.646,1,0.0484,0.247,0,0.125,0.275,189.857,252534
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith,100,0gX9tkL5njRax8ymWcXARi,Unholy (feat. Kim Petras),2022-09-22,6gS3HhOiI17QNojjPuPzqc,pop,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-6,0.266,0.238,131.121,156943
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,75,0pF0oyuPNdOObniB1Ng0kW,7/27 (Deluxe),2016-05-27,6gS3HhOiI17QNojjPuPzqc,pop,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-6,0.0644,0.593,105.017,214480
2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,81,7lPoGKpCGgdKFAxpudhAH5,Speak Your Mind (Deluxe),2018-04-27,6gS3HhOiI17QNojjPuPzqc,pop,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186987
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,72,4TOkZvtqNpg5UHyGxCn0mS,Expectations,2018-06-22,6gS3HhOiI17QNojjPuPzqc,pop,0.642,0.772,10,-6.61,1,0.0848,0.0476,0,0.0646,0.589,153.995,164205
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,79,1DF9B2hfwX4EdgEFwGcRwh,Icarus Falls,2018-12-14,6gS3HhOiI17QNojjPuPzqc,pop,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-6,0.106,0.0951,180.042,239000
2m6Ko3CY1qXNNja8AlugNc,Angel Baby,Troye Sivan,80,44CdsgXhU5R2esprq0tf43,Angel Baby,2021-09-09,6gS3HhOiI17QNojjPuPzqc,pop,0.559,0.559,11,-6.425,1,0.0358,0.0145,0,0.138,0.338,72.498,220780
0qvzXomUDJVaUboy2wMfiS,This Town,Niall Horan,79,7ahctQBwcSxDdP0fRAPo2p,Flicker (Deluxe),2017-10-20,6gS3HhOiI17QNojjPuPzqc,pop,0.677,0.401,9,-8.467,1,0.0308,0.712,0,0.116,0.195,111.825,232852
6VrLYoQKdhu1Jruei06t65,Somebody To You,The Vamps,76,12gXA8pXYzj9bycyyKSGAa,Meet The Vamps,2014-01-01,6gS3HhOiI17QNojjPuPzqc,pop,0.526,0.818,3,-5.952,1,0.0358,0.0587,0,0.333,0.896,171.96,185098
26wLOs3ZuHJa2Ihhx6QIE6,Teeth,5 Seconds of Summer,78,1zbH0DnpYxaoqTojXNLQb6,13 Reasons Why (Season 3),2019-08-23,6gS3HhOiI17QNojjPuPzqc,pop,0.756,0.448,3,-2.993,0,0.0404,0.0508,3.87e-6,0.11,0.431,139.031,204887
1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,76,5YLRVHDVRw3QqWbeTGpC5B,So Good,2017-03-17,6gS3HhOiI17QNojjPuPzqc,pop,0.694,0.712,7,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,201122
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,80,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,2019-06-07,6gS3HhOiI17QNojjPuPzqc,pop,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181027
6ZtiywT2Qm50a1uR0jlY35,"Sit Still, Look Pretty",Daya,71,3NoYyHEGIa8as1c0cisZAt,"Sit Still, Look Pretty",2016-10-07,6gS3HhOiI17QNojjPuPzqc,pop,0.846,0.734,2,-3.601,1,0.108,0.286,8.27e-5,0.425,0.717,90.98,207761
7uzmGiiJyRfuViKKK3lVmR,Mine,Bazzi,75,5EEkfRgfYHiFu0lGur6Z6M,COSMIC,2018-04-12,6gS3HhOiI17QNojjPuPzqc,pop,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-6,0.451,0.717,142.929,131064
5NQJnRpJHRaupdegphntQT,Jealous - Remix,Nick Jonas,65,4G4Azv5cwPBv3vCA0mD6ei,Nick Jonas X2,2015-11-20,6gS3HhOiI17QNojjPuPzqc,pop,0.684,0.71,11,-3.614,0,0.0779,0.0132,0,0.444,0.451,93.007,222187
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,Selena Gomez & The Scene,81,49yHvRh1cOfLcEKukEP7Ox,When The Sun Goes Down,2011-01-01,6gS3HhOiI17QNojjPuPzqc,pop,0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117.009,188453
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,85,3wBabo4pmzsYjALMSKY7Iq,Illuminate (Deluxe),2017-04-20,6gS3HhOiI17QNojjPuPzqc,pop,0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,199440
0EcQcdcbQeVJn9fknj44Be,I Like Me Better,Lauv,80,71cQY3dUThCY6vVKaUIXqR,I met you when I was 18. (the playlist),2018-05-31,6gS3HhOiI17QNojjPuPzqc,pop,0.753,0.505,9,-7.621,1,0.255,0.534,2.58e-6,0.104,0.419,91.972,197437
5ajjAnNRh8bxFvaVHzpPjh,Reckless,Madison Beer,79,5lVImnUah94yoxXy2H1qo7,Reckless,2021-06-04,6gS3HhOiI17QNojjPuPzqc,pop,0.386,0.426,3,-6.642,1,0.0363,0.807,0,0.14,0.261,180.104,203385
14OxJlLdcHNpgsm4DRwDOB,Habits (Stay High),Tove Lo,73,47C7w4o1resDhr7jvYEpxE,Queen Of The Clouds,2014-01-01,6gS3HhOiI17QNojjPuPzqc,pop,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-5,0.0829,0.347,110.02,209160
6KHL1En9v6iNWjcs44mcmU,Secret Love Song (feat. Jason Derulo),Little Mix,77,2FnfZiFMv7bmXAIATOJDHs,Get Weird (Expanded Edition),2015-11-06,6gS3HhOiI17QNojjPuPzqc,pop,0.529,0.614,9,-5.032,1,0.0479,0.215,0,0.277,0.141,92.972,249810
