country,code,ag_land,ag_value,emissions,exports,fertility,mobile,foreign_invest,gdp,gdp_growth,gni_pc,gni_atlas,gcf,measles,imports,industry,inflation,internet,life,short_debt,imf_credit,merch,military,barter,devel_assist,fixed_phones,pop_growth,pop_density,pop,services,area
Algeria,DZA,17.364964116585305,12.336212111589557,3.9776504588965977,22.71346191011215,2.988,105.510594,-1350051614.14718,171767403748.19025,1.0000000001002292,4010,172714293453.52942,45.827995803923876,80,29.12825279553865,25.13760021555961,-0.46802490975747446,57.9,76.88,41.228,1656880871,45.26935745852727,6.0210459935367595,191.6515825,171960006.71386698,10.76629082,1.93398334424168,18.07629544942124,43053054,46.398727324219074,2381741
Angola,AGO,45.68259404828748,7.882624763072095,0.7921370694576255,40.79075505328329,5.442,46.59863797,1749052912.30147,69309104806.63107,-0.6999999978027205,2070,65861745335.47364,17.71225524043857,51,17.03878306502028,49.760920743982894,19.184275657289618,32.4,61.147,5.0631,1861295679.9,70.48568890955586,1.6437402833203802,174.7520449,21309999.4659424,0.391908386,3.24291402840967,25.527632148873025,31825299,42.123213697373025,1246700
Benin,BEN,35.03015253636041,26.875801625833695,0.6185837458341868,29.630527193547803,4.767,87.70201313,-191058357.410862,14391686632.782114,6.865687335501505,1250,14803390762.056602,25.62980057906037,68,34.05080512068219,16.312561201590185,-0.3975544520522618,22.4,61.771,0.3094,266700038.9,48.52801605679414,0.472934841224128,126.4022516,593109985.351563,0.304351669,2.71521854979345,104.65724547711955,11801151,48.0268213377537,114760
Botswana,BWA,45.633723289749966,2.0886547867047334,3.147107070659716,37.15431087144037,2.836,162.6411807,-113402014.692137,16695925027.194376,3.3489101391339204,7170,16529067969.563759,29.650623093812946,97,46.08761458004441,31.825145047018122,0.7160185819158329,61,69.592,8.8943,79418438.9,70.68191777801167,2.81226100290808,85.86264511,67599998.4741211,6.189485857,2.1781688165261,4.064903922502779,2303703,60.71788737813907,581730
Burkina Faso,BFA,44.38230994152047,18.376102905702577,0.24604624596662542,27.616112117557414,5.109,100.2122395,-146535904.034235,16178162030.069414,5.68811514943657,770,15694924225.096655,22.208344834786494,88,31.048055121253377,27.1474944991191,1.6170939542024172,18,61.577,0,309646453,46.50095595542581,2.60603750918948,140.5040181,1107729980.46875,0.370501449,2.8445964977375,74.27406067251462,20321383,44.87075337861808,274220
Burundi,BDI,79.16666666666666,28.844390046836654,0.062442671221937036,5.172036838499534,5.321,56.64970019,NA,2581268125.7891684,1.812565324015523,240,2748769958.3907804,14.128734018444222,92,23.854169395067363,10.935976222967904,1.0377658362972255,6.2,61.584,0.0448,149136356.3,41.33627147601287,2.49715201414113,168.5808926,553849975.585938,0.181569357,3.1289321480628,449.010007788162,11530577,47.82754256763641,27830
Cameroon,CMR,20.625753633305834,16.80228356444006,0.36442492165447127,19.85009074731856,4.506,82.70374759,-898870738.367898,39670977332.73484,3.475059978656077,1540,39768882851.90506,18.934645496049633,60,23.528422500722993,23.826878053897016,1.1697718223357754,33.5,59.292,2.936,760370154.8,26.084560290026587,1.08675917326775,140.0622222,1297449951.17188,3.309624453,2.58417898206639,54.740511095597725,25876387,51.02687347630507,475440
Cabo Verde,CPV,19.602977667493796,4.632906037907877,1.1819556751297278,50.64929201553855,2.242,108.3184376,-93631984.0631245,1981845740.7061462,5.6677524603430385,3630,1995414044.627505,35.4187615724755,98,65.25786357490763,19.605764148694224,0.5629805970967823,61.94339776,72.981,0.003,12679127.8,43.292975955549814,0.48821308721016204,111.0538671,151940002.44140598,10.45778137,1.12865786215008,136.4605459057072,549936,61.38641247700182,4030
Central African Republic,CAF,8.154354874955857,28.34183246494384,0.05057764831117688,15.75538000180832,4.645,33.619216110000004,NA,2221301400.7246838,3.0999999999999943,520,2450838159.7670846,26,41,34.310419999678444,20.51197122394637,2.3278370514064193,8.3,53.283,14.9015,296484719.1,33.76399077384627,1.91552922883814,68.7641983,688729980.46875,0.042147988,1.67466162763351,7.616904234485858,4745179,41.14853769819885,622980
Chad,TCD,39.89675984752223,42.59444912409075,0.14109341249279952,36.74225343638259,5.649,48.06483101,NA,11314951342.780731,3.2471819174342897,700,11171839251.204937,21.413452583866565,41,37.82827211947323,14.270050970246679,2.8560341198774495,9.8,54.239,0.7967,469812226.1,47.777492242149016,2.18715298621802,137.4102876,641780029.296875,0.040910834,2.98613014725798,12.664296378653113,15946882,40.467352937888975,1284000
