States,Unemployed,Bachelor.s,Retirement,MedianIncome,Christian,NumberPeoplePerFamily,HealthInsurance,Voted,X2001.Lower.Democrat,X2001.Lower.Republican,X2001.Lower.Other,X2001.Lower.Vacancies,X2001.Upper.Democrat,X2001.Upper.Republican,X2001.Upper.Other,X2001.Upper.Vacancies,lower_dem,upper_dem,pct_dem
Alabama,5.7,19,13,34135,54.4,3.01,87.3,59.6,67,38,0,0,24,11,0,0,63.80952380952381,68.57142857142857,66.19047619047619
Alaska,8.3,24.7,5.7,51571,33.6,3.28,81.7,65.5,13,27,0,0,6,14,0,0,32.5,30,31.25
Arizona,5.4,23.5,13,40558,37.9,3.18,84,46.7,24,36,0,0,15,15,0,0,40,50,45
Arkansas,5.2,16.7,14,32182,56.7,2.99,86.2,49.4,70,30,0,0,27,8,0,0,70,77.14285714285714,73.57142857142857
California,6.6,26.6,10.6,47493,42.3,3.43,81.9,46.4,50,30,0,0,26,14,0,0,62.5,65,63.75
Colorado,3.9,32.7,9.7,47203,37.3,3.09,86.2,53.6,28,37,0,0,18,17,0,0,43.07692307692308,51.42857142857143,47.252747252747255
Connecticut,4.4,31.4,13.8,53935,53.7,3.08,90.7,55.2,100,51,0,0,21,15,0,0,66.2251655629139,58.333333333333336,62.27924944812362
Delaware,4.5,25,13,47391,38.2,3.04,91.1,62.2,15,26,0,0,13,8,0,0,36.58536585365854,61.904761904761905,49.24506387921022
Florida,5,22.3,17.6,38819,36.9,2.98,83,51.6,43,77,0,0,15,25,0,0,35.833333333333336,37.5,36.66666666666667
Georgia,4.8,24.3,9.6,42433,43.1,3.14,85.9,49,105,74,0,0,32,24,0,0,58.659217877094974,57.142857142857146,57.901037509976064
Hawaii,5.9,26.2,13.3,49820,35.6,3.42,90.9,39.7,32,19,0,0,22,3,0,0,62.745098039215684,88,75.37254901960785
Idaho,5.4,21.7,11.3,37572,48.3,3.17,85,53.9,9,61,0,0,3,31,0,1,12.857142857142858,9.571428571428571,11.214285714285715
Illinois,5.6,26.1,12.1,46590,52,3.23,86.7,56.8,62,56,0,0,27,32,0,0,52.54237288135593,45.76271186440678,49.152542372881356
Indiana,4.5,19.4,12.4,41567,42.4,3.05,89.2,58.5,52,46,0,0,18,32,0,0,53.06122448979592,36,44.53061224489796
