DATE,LOCATION,OPPONENT,OUTCOME
Oct 10  2002,away,Pittsburgh,W
Oct 12  2002,home,Ottawa,L
Oct 14  2002,home,Pittsburgh,L
Oct 15  2002,away,NY Rangers,L
Oct 17  2002,home,Phoenix,W
Oct 19  2002,away,Montreal,T
Oct 21  2002,home,Boston,L
Oct 23  2002,home,Florida,L
Oct 26  2002,home,NY Rangers,L
Oct 28  2002,home,Anaheim,W
Oct 31  2002,home,Atlanta,T
Nov 02  2002,home,Montreal,L
Nov 05  2002,home,Tampa Bay,W
Nov 08  2002,away,Dallas,L
Nov 09  2002,away,St. Louis,L
Nov 12  2002,home,Los Angeles,W
Nov 15  2002,away,Buffalo,W
Nov 16  2002,home,Detroit,L
Nov 19  2002,home,Boston,W
Nov 23  2002,home,Philadelphia,W
Nov 25  2002,away,Ottawa,L
Nov 26  2002,home,Washington,W
Nov 29  2002,away,Philadelphia,W
Nov 30  2002,home,Buffalo,W
Dec 03  2002,home,Tampa Bay,W
Dec 06  2002,away,NY Islanders,L
Dec 07  2002,home,New Jersey,W
Dec 10  2002,home,Pittsburgh,W
Dec 12  2002,away,Philadelphia,L
Dec 14  2002,home,NY Rangers,W
Dec 16  2002,away,Atlanta,L
Dec 18  2002,away,Florida,T
Dec 19  2002,away,Tampa Bay,W
Dec 21  2002,home,San Jose,T
Dec 23  2002,home,Atlanta,W
Dec 27  2002,away,Calgary,W
Dec 28  2002,away,Edmonton,L
Dec 31  2002,away,Vancouver,W
Jan 03  2003,away,New Jerse,L
Jan 04  2003,home,New Jersey,W
Jan 07  2003,home,Boston,W
Jan 09  2003,away,Pittsburgh,W
Jan 11  2003,away,Boston,L
Jan 13  2003,away,NY Rangers,L
Jan 14  2003,home,Calgary,W
Jan 17  2003,away,Washington,W
Jan 18  2003,away,Montreal,W
Jan 21  2003,home,Philadelphia,L
Jan 24  2003,away,Buffalo,L
Jan 25  2003,home,Colorado,L
Jan 29  2003,away,Carolina,W
Jan 30  2003,away,Atlanta,W
Feb 05  2003,away,Florida,W
Feb 06  2003,away,Tampa Bay,W
Feb 08  2003,home,Montreal,W
Feb 11  2003,home,Edmonton,L
Feb 12  2003,away,Chicago,W
Feb 15  2003,home,Ottawa,W
Feb 18  2003,home,Carolina,W
Feb 20  2003,away,Washington,W
Feb 22  2003,away,Montreal,W
Feb 23  2003,home,Nashville,L
Feb 25  2003,home,NY Islanders,W
Feb 27  2003,away,Detroit,L
Mar 01  2003,home,Carolina,W
Mar 03  2003,home,Florida,L
Mar 04  2003,home,Ottawa,L
Mar 06  2003,home,Buffalo,L
Mar 08  2003,home,Vancouver,T
Mar 10  2003,away,Edmonton,W
Mar 13  2003,away,Calgary,L
Mar 15  2003,away,Vancouver,W
Mar 18  2003,home,NY Islanders,T
Mar 20  2003,away,Columbus,L
Mar 22  2003,home,Buffalo,W
Mar 24  2003,away,Boston,L
Mar 25  2003,away,Carolina,T
Mar 28  2003,away,NY Islanders,W
Mar 29  2003,home,Washington,W
Apr 01  2003,away,New Jersey,W
Apr 03  2003,home,Minnesota,W
Apr 05  2003,home,Ottawa,L
