school,cost
Alabama A & M University,23445
University of Alabama at Birmingham,25542
University of Alabama in Huntsville,24861
Alabama State University,21892
The University of Alabama,30016
Auburn University at Montgomery,20225
Auburn University,32196
Jacksonville State University,21560
University of West Alabama,22645
University of Montevallo,26018
University of North Alabama,21502
Samford University,49634
University of South Alabama,21694
Troy University,21251
Tuskegee University,40750
University of Alaska Anchorage,18946
University of Alaska Fairbanks,19135
Arizona State University Campus Immersion,27056
University of Arizona,27461
Embry-Riddle Aeronautical University-Prescott,54536
Northern Arizona University,27969
University of Arkansas at Little Rock,20416
University of Arkansas,23997
University of Arkansas at Pine Bluff,19541
Arkansas State University,23009
Arkansas Tech University,19361
University of Central Arkansas,23185
Harding University,31647
Henderson State University,23005
Southern Arkansas University Main Campus,23044
University of Arkansas-Fort Smith,17288
Azusa Pacific University,56802
Biola University,58012
California Baptist University,48731
California Lutheran University,60668
California Polytechnic State University-San Luis Obispo,28927
California State University-Bakersfield,18661
California State University-Stanislaus,17424
California State University-San Bernardino,19114
California State Polytechnic University-Pomona,22365
California State University-Chico,25073
California State University-Dominguez Hills,15019
California State University-Fresno,17683
California State University-Fullerton,17791
California State University-East Bay,23357
California State University-Long Beach,19846
California State University-Los Angeles,15307
California State University-Northridge,19794
California State University-Sacramento,21576
University of California-Berkeley,39016
University of California-Davis,35532
University of California-Irvine,34355
University of California-Los Angeles,35497
University of California-Riverside,30561
University of California-San Diego,33240
University of California-Santa Barbara,36492
University of California-Santa Cruz,35925
Chapman University,74336
Fresno Pacific University,43317
California State Polytechnic University-Humboldt,24991
University of La Verne,60759
Loyola Marymount University,70235
Mount Saint Mary's University,57689
National University,26208
University of the Pacific,64784
Pepperdine University,75312
Point Loma Nazarene University,53045
University of Redlands,68156
San Diego State University,23367
University of San Diego,70440
San Francisco State University,24513
University of San Francisco,69987
San Jose State University,25747
Santa Clara University,74297
Saint Mary's College of California,69071
Sonoma State University,26537
University of Southern California,77362
University of Colorado Denver/Anschutz Medical Campus,22702
University of Colorado Colorado Springs,22169
University of Colorado Boulder,31034
Colorado Christian University,46894
Colorado College,74760
Colorado School of Mines,36107
Colorado State University-Fort Collins,27513
University of Denver,69469
Fort Lewis College,23881
Colorado Mesa University,22143
Metropolitan State University of Denver,19975
University of Northern Colorado,23864
Regis University,51593
Colorado State University Pueblo,21950
University of Bridgeport,53853
Central Connecticut State University,22518
University of Connecticut,33896
Eastern Connecticut State University,27425
Fairfield University,67080
University of Hartford,57475
University of New Haven,58438
Quinnipiac University,66237
Sacred Heart University,61591
Southern Connecticut State University,25413
Trinity College,76850
Wesleyan University,75693
Western Connecticut State University,23110
Yale University,76645
Delaware State University,23888
University of Delaware,28708
Wilmington University,18524
American University,66416
The Catholic University of America,65857
University of the District of Columbia,22638
George Washington University,74023
Georgetown University,76280
Howard University,45971
Barry University,47118
