"unitid","college","type","city","state","region","admissionRate","ACTmath","ACTenglish","undergrads","cost","gradRate","FYretention","fedloan","debt"
110316,"California Institute of Integral Studies","private","San Francisco","CA","Far West",NA,NA,NA,75,NA,NA,NA,0.828,18750
120184,"Notre Dame de Namur University","private","Belmont","CA","Far West",0.872,21,19,1209,47115,0.4792,0.7692,0.672,27000
119173,"Mount St Mary's College","private","Los Angeles","CA","Far West",0.7409,NA,NA,2617,47905,0.6379,0.7923,0.9203,25000
237057,"Whitman College","private","Walla Walla","WA","Far West",0.5696,NA,NA,1525,54865,0.8775,0.9396,0.3587,15990
102669,"Alaska Pacific University","private","Anchorage","AK","Far West",0.3745,21,21,340,42925,0.3902,0.6667,0.4587,25125
122931,"Santa Clara University","private","Santa Clara","CA","Far West",0.5122,NA,NA,5404,57213,0.8401,0.9498,0.3726,20500
437316,"Linfield College-School of Nursing","private","Portland","OR","Far West",NA,NA,NA,344,NA,NA,NA,0.8338,25000
116846,"American Jewish University","private","Los Angeles","CA","Far West",0.59,NA,NA,109,46466,0.8125,0.8333,0.35,23250
115773,"Humphreys College-Stockton and Modesto Campuses","private","Stockton","CA","Far West",NA,NA,NA,757,21029,0.931,0.6923,0.922,29168
117104,"Life Pacific College","private","San Dimas","CA","Far West",0.7482,20,19,475,24492,0.5111,0.6279,0.5427,20600
209287,"Multnomah University","private","Portland","OR","Far West",0.538,NA,NA,438,33878,0.4714,0.6667,0.7117,25000
117946,"Loyola Marymount University","private","Los Angeles","CA","Far West",0.5412,26,28,6087,55432,0.7583,0.9144,0.4747,22299.5
141565,"University of Hawaii at Hilo","public","Hilo","HI","Far West",0.752,21,21,3335,15284,0.3642,0.6982,0.4574,19264
234827,"Central Washington University","public","Ellensburg","WA","Far West",0.8216,20,20,9958,21401,0.5132,0.7387,0.5472,21267
110583,"California State University-Long Beach","public","Long Beach","CA","Far West",0.3082,22,21,30440,18085,0.6033,0.8876,0.393,15775
377564,"University of Washington-Tacoma Campus","public","Tacoma","WA","Far West",0.8523,20,19,3587,22185,0.4943,0.7771,0.5181,16326
110574,"California State University-East Bay","public","Hayward","CA","Far West",0.6872,20,18,12079,20676,0.3808,0.7753,0.3844,16312
209542,"Oregon State University","public","Corvallis","OR","Far West",0.7894,25,24,22349,22974,0.6147,0.8415,0.5162,23166
203757,"Lourdes University","private","Sylvania","OH","Great Lakes",0.6932,NA,NA,1747,27429,0.3592,0.622,0.823,32650
143084,"Augustana College","private","Rock Island","IL","Great Lakes",0.5867,NA,NA,2504,45364,0.784,0.8506,0.588,27000
239017,"Lawrence University","private","Appleton","WI","Great Lakes",0.7269,NA,NA,1517,50570,0.8174,0.879,0.5738,27050
152600,"Valparaiso University","private","Valparaiso","IN","Great Lakes",0.7969,26,26,3209,43185,0.7013,0.8636,0.601,27000
206491,"Wilberforce University","private","Wilberforce","OH","Great Lakes",0.5834,NA,NA,463,24400,0.1289,0.7414,0.9486,29750
170532,"Kalamazoo College","private","Kalamazoo","MI","Great Lakes",0.6689,28,28,1427,48547,0.7741,0.9192,0.5149,27000
239080,"Marian University","private","Fond Du Lac","WI","Great Lakes",0.7561,20,19,1676,33656,0.4887,0.682,0.6489,27000
145691,"Illinois College","private","Jacksonville","IL","Great Lakes",0.6129,22,22,981,36829,0.6357,0.8134,0.768,27000
152080,"University of Notre Dame","private","Notre Dame","IN","Great Lakes",0.223,NA,NA,8466,57805,0.9486,0.9861,0.4142,21000
238458,"Carroll University","private","Waukesha","WI","Great Lakes",0.8114,24,24,3024,37963,0.5629,0.7598,0.7108,27000
151801,"Indiana Wesleyan University","private","Marion","IN","Great Lakes",0.9515,24,25,10625,33770,0.655,0.7776,0.6958,24806.5
238573,"Columbia College of Nursing","private","Glendale","WI","Great Lakes",NA,NA,NA,157,NA,NA,NA,0.9938,18454.5
148584,"University of St Francis","private","Joliet","IL","Great Lakes",0.5141,23,23,1757,36226,0.5657,0.7909,0.7678,25000
146612,"Lewis University","private","Romeoville","IL","Great Lakes",0.5587,24,24,4489,34079,0.6246,0.8172,0.6674,25000
202763,"The University of Findlay","private","Findlay","OH","Great Lakes",0.6832,24,23,2663,38941,0.564,0.7619,0.4915,23250
