machine,fill
1,-0.14
1,0.2
1,0.07
1,0.18
1,0.38
1,0.1
1,-0.04
1,-0.27
1,0.27
1,-0.21
1,0.39
1,-0.07
1,-0.02
1,0.28
1,0.09
1,0.13
1,0.26
1,0.07
1,-0.01
1,-0.19
2,0.46
2,0.11
2,0.12
2,0.47
2,0.24
2,0.06
2,-0.12
2,0.33
2,0.06
2,-0.03
2,0.05
2,0.53
2,0.42
2,0.29
2,0.36
2,0.04
2,0.17
2,0.02
2,0.11
2,0.12
3,0.21
3,0.78
3,0.32
3,0.45
3,0.22
3,0.35
3,0.54
3,0.24
3,0.47
3,0.62
3,0.47
3,0.55
3,0.59
3,0.71
3,0.45
3,0.48
3,0.44
3,0.5
3,0.2
3,0.61
4,0.49
4,0.58
4,0.52
4,0.29
4,0.27
4,0.55
4,0.4
4,0.14
4,0.48
4,0.34
4,0.01
4,0.33
4,0.18
4,0.13
4,0.48
4,0.54
4,0.51
4,0.42
4,0.45
4,0.2
5,-0.19
5,0.27
5,0.06
5,0.11
5,0.23
5,0.15
5,0.01
5,0.22
5,0.29
5,0.14
5,0.2
5,0.3
5,-0.11
5,0.27
5,-0.2
5,0.24
5,0.2
5,0.14
5,0.35
5,-0.18
6,0.05
6,-0.05
6,0.28
6,0.47
6,0.12
6,0.27
6,0.08
6,0.17
6,0.43
6,-0.07
6,0.2
6,0.01
6,0.1
6,0.16
6,-0.06
6,0.13
6,0.43
6,0.35
6,-0.09
6,0.05
