"Fuel","Tax","Dlic","Income","Miles","State"
690.264417574993,18,1031.38006701847,23471,94440,"AL"
514.279222595078,8,1031.64106194072,30064,13628,"AK"
621.475071439064,18,908.597153288295,25578,55245,"AZ"
655.292667934626,21.7,946.570575821351,22257,98132,"AR"
573.9128549539,18,844.703336324955,32275,168771,"CA"
616.61151166833,22,989.606179767672,32949,85854,"CO"
549.992607823939,25,999.593430316672,40640,20910,"CT"
626.023933707922,23,924.344838095987,31255,5814,"DE"
317.492397161607,20,700.195272901883,37383,1534,"DC"
586.346096056443,13.6,1000.12415807756,28145,117299,"FL"
750.907417207779,7.5,933.302595481984,27940,115534,"GA"
426.349369563752,16,829.997134380689,28221,4278,"HI"
628.427947327909,25,925.193413718599,24180,46310,"ID"
526.237662149473,19,819.436730764852,32259,138359,"IL"
666.536462560162,15,879.235228490054,27011,94038,"IN"
647.001624724573,20,867.490690494791,26723,113437,"IA"
600.902409485793,21,909.06533870232,27816,134725,"KS"
659.741313890594,16.4,871.99848922099,24294,78914,"KY"
633.734764440533,20,800.685095736076,23334,60829,"LA"
584.09261655018,22,932.971582928575,25623,22672,"ME"
602.286173348523,23.5,844.963775370581,33872,30622,"MD"
543.232068166039,21,920.65885690655,37992,35408,"MA"
642.970594520049,19,914.633785036254,29612,121790,"MI"
672.919149935088,20,782.812385584605,32101,132280,"MN"
683.501954711793,18.4,860.807854955524,20993,73701,"MS"
689.366113916604,17,899.846814260835,27445,124324,"MO"
666.597759126804,27,974.235233233013,22569,69503,"MT"
617.690539889002,24.5,963.733123240459,27829,92766,"NE"
614.893985028897,24.75,923.803690236531,30529,38658,"NV"
689.652121137672,19.5,980.466232837424,33332,15508,"NH"
597.640261487676,10.5,873.136402254322,36983,36175,"NJ"
646.527273974662,18.5,898.963896961903,22203,59883,"NM"
374.164069568442,22,744.380184904203,34547,112961,"NY"
645.44182635314,24.1,935.380823508206,27194,101195,"NC"
666.188746574906,21,907.890858981712,25068,86591,"ND"
572.075639994402,22,880.151157115341,28400,117267,"OH"
657.060517651013,17,814.861854952389,23517,112694,"OK"
556.345512240941,24,948.07171556472,28350,66784,"OR"
518.328629902227,26,848.588098993737,29539,119985,"PA"
482.326937160563,29,798.13383864629,29685,6053,"RI"
711.733057689406,16,914.85267067506,24321,66167,"SC"
697.052777060952,22,943.895904161998,26115,83560,"SD"
638.231060954519,20,942.044364952034,26239,87826,"TN"
681.100136591545,20,835.295554893788,27871,300767,"TX"
591.499945887818,24.5,935.788545858666,23907,42208,"UT"
691.02271186087,20,1075.28820172556,26901,14291,"VT"
681.031121438063,17.5,889.91951439532,31162,70721,"VA"
576.069749558003,23,930.856245542413,31528,80985,"WA"
562.410933302184,25.65,904.893600939967,21915,36997,"WV"
581.793716945712,27.3,882.329081229435,28232,112663,"WI"
842.791752426142,14,970.752745612519,27230,27292,"WY"
