"id","age","sex","race","hispanic","region","educ","paeduc","maeduc","relig","happy","income","polviews","partyid","grass","commute","wrkstat","wrkslf","wrkgovt","marital","confinan","conclerg","coneduc","conpress","conjudge","consci","conlegis","conarmy","joblose","jobfind","satjob"
1,"47","MALE","WHITE","NOT HISPANIC","NEW ENGLAND","16","18","13","NONE","PRETTY HAPPY","REFUSED","MODERATE","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
2,"61","MALE","WHITE","NOT HISPANIC","NEW ENGLAND","12","8","12","NONE","PRETTY HAPPY","$25000 OR MORE","LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","A GREAT DEAL","HARDLY ANY","HARDLY ANY","HARDLY ANY","A GREAT DEAL","ONLY SOME","HARDLY ANY","HARDLY ANY","NOT LIKELY","NOT EASY","VERY SATISFIED"
3,"72","MALE","WHITE","NOT HISPANIC","NEW ENGLAND","16","12","8","CATHOLIC","VERY HAPPY","$25000 OR MORE","CONSERVATIVE","NOT STR REPUBLICAN","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","A GREAT DEAL","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,NA
4,"43","FEMALE","WHITE","NOT HISPANIC","NEW ENGLAND","12",NA,"12","CATHOLIC","PRETTY HAPPY","REFUSED","MODERATE","NOT STR REPUBLICAN",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY","VERY SATISFIED"
5,"55","FEMALE","WHITE","NOT HISPANIC","NEW ENGLAND","18","16","12","NONE","VERY HAPPY","REFUSED","SLIGHTLY LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","HARDLY ANY","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"MOD. SATISFIED"
6,"53","FEMALE","WHITE","NOT HISPANIC","NEW ENGLAND","14","11","12","NONE","VERY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","GOVERNMENT","MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
7,"50","MALE","WHITE","NOT HISPANIC","NEW ENGLAND","14","12","12","NONE","PRETTY HAPPY","REFUSED","SLIGHTLY LIBERAL","NOT STR REPUBLICAN",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
8,"23","FEMALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","MIDDLE ATLANTIC","11","5","5","CATHOLIC","VERY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","IND,NEAR DEM","NOT LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","GOVERNMENT","MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",NA,NA,"VERY SATISFIED"
9,"45","MALE","BLACK","NOT HISPANIC","MIDDLE ATLANTIC","12","8","8","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","DK","STRONG DEMOCRAT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","NOT EASY","MOD. SATISFIED"
10,"71","MALE","WHITE","NOT HISPANIC","MIDDLE ATLANTIC","14","14","15","NONE","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","STRONG REPUBLICAN","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","DIVORCED","A GREAT DEAL","HARDLY ANY","HARDLY ANY","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,NA
