year,age,degree,finrela,happy,health,marital,sex,polviews,partyid,wtssall,nhappy
2018,43,junior college,below average,pretty happy,good,never married,male,conservative,not str republican,198,2
2018,74,high school,below average,very happy,excellent,separated,female,NA,"ind,near dem",61,1
2018,42,bachelor,above average,very happy,NA,married,male,slghtly conservative,"ind,near rep",61,1
2018,63,bachelor,above average,very happy,NA,married,female,moderate,"ind,near dem",61,1
2018,71,graduate,far above average,pretty happy,excellent,divorced,male,extrmly conservative,strong republican,61,2
2018,67,bachelor,below average,not too happy,good,widowed,female,slightly liberal,"ind,near dem",61,3
2018,59,high school,below average,pretty happy,good,divorced,female,moderate,strong democrat,61,2
2018,43,high school,below average,pretty happy,excellent,never married,male,slghtly conservative,not str republican,14,2
2018,62,lt high school,far below average,not too happy,NA,widowed,female,moderate,independent,14,3
2018,55,high school,above average,pretty happy,NA,married,male,NA,not str democrat,61,2
2018,59,graduate,below average,pretty happy,excellent,divorced,male,conservative,strong republican,61,2
2018,34,high school,far below average,pretty happy,NA,separated,female,moderate,not str democrat,95,2
2018,61,high school,below average,not too happy,poor,divorced,female,moderate,not str democrat,14,3
2018,44,bachelor,below average,very happy,excellent,married,male,slightly liberal,strong democrat,61,1
2018,41,high school,below average,pretty happy,NA,never married,female,liberal,"ind,near rep",110,2
2018,75,high school,average,pretty happy,good,widowed,female,slghtly conservative,independent,61,2
2018,55,bachelor,below average,not too happy,NA,married,female,liberal,"ind,near dem",61,3
2018,30,bachelor,average,very happy,excellent,married,female,conservative,independent,61,1
2018,40,graduate,average,pretty happy,excellent,divorced,female,liberal,not str democrat,14,2
2018,30,graduate,average,not too happy,NA,never married,male,moderate,"ind,near rep",306,3
2018,34,high school,average,very happy,excellent,married,female,conservative,not str republican,61,1
2018,29,junior college,average,pretty happy,good,never married,female,conservative,not str republican,277,2
2018,40,junior college,average,pretty happy,NA,married,female,moderate,"ind,near dem",61,2
2018,37,high school,average,very happy,excellent,never married,male,extremely liberal,strong democrat,61,1
2018,56,bachelor,average,very happy,good,married,female,conservative,not str republican,61,1
2018,82,lt high school,average,very happy,excellent,widowed,male,moderate,not str republican,95,1
2018,68,high school,below average,pretty happy,good,divorced,female,moderate,not str democrat,95,2
2018,42,lt high school,far below average,not too happy,excellent,never married,female,moderate,not str democrat,14,3
2018,40,high school,average,not too happy,NA,divorced,female,extrmly conservative,strong republican,61,3
2018,20,high school,above average,pretty happy,excellent,never married,male,liberal,"ind,near rep",110,2
2018,74,high school,average,pretty happy,NA,married,female,extrmly conservative,"ind,near rep",61,2
2018,89,lt high school,average,not too happy,fair,married,male,moderate,strong republican,61,3
2018,60,bachelor,average,pretty happy,NA,married,female,moderate,independent,61,2
2018,56,bachelor,above average,pretty happy,fair,divorced,female,extremely liberal,not str democrat,14,2
2018,55,lt high school,average,very happy,NA,divorced,female,conservative,"ind,near dem",14,1
2018,65,graduate,average,very happy,excellent,married,male,extrmly conservative,strong republican,61,1
2018,71,graduate,above average,pretty happy,fair,widowed,female,moderate,strong democrat,14,2
2018,34,graduate,below average,not too happy,good,never married,male,extremely liberal,strong democrat,14,3
2018,45,graduate,below average,pretty happy,NA,married,male,slghtly conservative,"ind,near rep",14,2
