light,near_sighted
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,yes
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
some,no
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,yes
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
darkness,no
