id,tag,survived
1,electronic,yes
2,metal,no
3,electronic,no
4,metal,no
5,metal,no
6,electronic,yes
7,metal,no
8,metal,no
9,electronic,no
10,metal,yes
11,metal,yes
12,metal,no
13,metal,no
14,metal,no
15,electronic,yes
16,metal,no
17,electronic,no
18,metal,yes
19,metal,yes
20,electronic,no
21,electronic,no
22,metal,no
23,electronic,no
24,metal,yes
25,electronic,yes
26,electronic,yes
27,metal,no
28,electronic,no
29,electronic,yes
30,electronic,no
31,metal,no
32,electronic,no
33,metal,no
34,electronic,yes
35,metal,yes
36,metal,no
37,electronic,no
38,metal,no
39,electronic,no
40,metal,no
41,electronic,no
42,electronic,no
43,electronic,no
44,electronic,no
45,metal,no
46,electronic,yes
47,electronic,no
48,electronic,no
49,electronic,no
50,metal,no
51,metal,no
52,metal,no
53,metal,no
54,metal,no
55,electronic,no
56,metal,no
57,electronic,yes
58,electronic,no
59,metal,no
60,metal,no
61,electronic,no
62,metal,no
63,metal,no
64,metal,no
65,metal,yes
66,metal,no
67,electronic,no
68,metal,no
69,metal,no
70,electronic,no
71,electronic,yes
72,electronic,yes
73,electronic,yes
74,electronic,no
75,metal,no
76,metal,no
77,electronic,no
78,electronic,yes
79,electronic,yes
80,metal,no
81,metal,yes
82,metal,no
83,metal,no
84,electronic,no
85,electronic,yes
86,metal,no
87,metal,no
88,electronic,yes
89,electronic,no
90,electronic,no
91,metal,no
92,metal,no
93,electronic,no
94,metal,no
95,electronic,no
96,electronic,no
97,electronic,no
98,metal,yes
99,metal,yes
100,metal,no
101,metal,no
102,electronic,no
103,metal,no
104,electronic,no
105,electronic,yes
106,metal,yes
107,metal,no
108,electronic,no
109,electronic,no
110,metal,no
111,electronic,yes
112,metal,no
113,electronic,no
114,metal,no
115,metal,no
116,metal,no
117,electronic,yes
118,metal,no
119,electronic,yes
120,metal,no
121,electronic,yes
122,electronic,yes
123,electronic,yes
124,metal,yes
125,electronic,yes
126,metal,yes
127,metal,no
128,electronic,yes
129,electronic,no
130,metal,yes
131,metal,no
132,electronic,no
133,metal,yes
134,metal,no
135,electronic,no
136,electronic,no
137,electronic,no
138,electronic,no
139,metal,no
140,metal,no
141,metal,yes
142,electronic,yes
143,metal,no
144,metal,no
145,metal,no
146,electronic,yes
147,electronic,no
148,electronic,yes
149,metal,no
150,electronic,no
151,electronic,yes
152,metal,yes
153,metal,no
154,metal,yes
155,metal,no
156,metal,yes
157,electronic,no
158,electronic,yes
159,electronic,yes
160,metal,yes
161,metal,no
162,metal,no
163,electronic,no
164,metal,no
165,electronic,yes
166,electronic,no
167,electronic,no
168,electronic,no
169,electronic,no
170,electronic,yes
171,electronic,no
172,metal,no
173,metal,no
174,electronic,yes
175,electronic,no
176,electronic,no
177,metal,no
178,metal,no
179,metal,yes
180,metal,no
181,metal,yes
182,metal,no
183,electronic,yes
184,metal,no
185,electronic,no
186,metal,no
187,metal,no
188,metal,no
189,metal,no
190,metal,no
191,electronic,yes
192,metal,no
193,electronic,yes
194,metal,no
195,metal,no
196,metal,no
197,electronic,yes
198,electronic,no
199,metal,no
200,metal,no
201,electronic,no
202,metal,no
203,electronic,no
204,electronic,no
205,electronic,no
206,electronic,no
207,metal,yes
208,metal,no
209,metal,no
210,metal,no
211,metal,no
212,electronic,no
213,metal,no
214,electronic,yes
215,electronic,no
216,electronic,yes
217,metal,no
218,metal,no
219,metal,no
220,metal,no
221,metal,yes
222,metal,no
223,electronic,no
224,electronic,yes
225,electronic,yes
226,electronic,yes
227,metal,no
228,metal,no
229,electronic,no
230,electronic,yes
231,electronic,no
232,electronic,no
233,metal,no
234,metal,no
235,electronic,no
236,electronic,no
237,electronic,no
238,electronic,yes
239,electronic,no
240,electronic,no
241,electronic,no
242,metal,no
243,metal,yes
244,electronic,no
245,electronic,no
246,electronic,no
247,metal,no
248,electronic,no
249,metal,no
250,metal,no
251,metal,no
252,electronic,no
253,metal,no
254,electronic,no
255,electronic,yes
256,electronic,yes
257,electronic,yes
258,electronic,no
259,electronic,no
260,electronic,no
261,electronic,yes
262,electronic,no
263,metal,no
264,electronic,no
265,metal,no
266,metal,no
267,electronic,no
268,electronic,no
269,metal,yes
270,electronic,yes
271,electronic,yes
272,electronic,yes
273,electronic,no
274,electronic,yes
275,metal,no
276,electronic,no
277,metal,no
278,electronic,no
279,metal,no
280,electronic,no
281,metal,no
282,electronic,no
283,electronic,no
284,electronic,no
285,metal,yes
286,electronic,no
287,metal,no
288,metal,no
289,metal,no
290,electronic,no
291,electronic,yes
292,electronic,yes
293,metal,no
294,electronic,yes
295,electronic,yes
296,electronic,no
297,metal,no
298,electronic,yes
299,metal,yes
300,electronic,no
301,electronic,no
302,metal,yes
303,electronic,yes
304,electronic,no
305,metal,yes
306,electronic,no
307,electronic,no
308,electronic,yes
309,electronic,no
310,metal,no
311,electronic,no
312,metal,no
313,electronic,yes
314,electronic,no
315,metal,no
316,metal,no
317,electronic,yes
318,metal,no
319,electronic,no
320,metal,no
321,electronic,yes
322,electronic,yes
323,electronic,no
324,electronic,yes
325,metal,no
326,metal,no
327,electronic,no
328,metal,no
329,electronic,no
330,metal,no
331,electronic,no
332,metal,yes
333,electronic,no
334,metal,no
335,electronic,no
336,electronic,no
337,electronic,yes
338,electronic,no
339,electronic,no
340,electronic,no
341,metal,no
342,electronic,no
343,metal,yes
344,metal,no
345,electronic,yes
346,electronic,no
347,metal,no
348,metal,no
349,electronic,no
350,electronic,no
351,electronic,no
352,metal,no
353,electronic,yes
354,electronic,no
355,metal,no
356,metal,yes
