school,cost
Universidad Ana G. Mendez-Cupey Campus,13286
California University of Pennsylvania,25716
Madonna University,35736
Florida Institute of Technology-Online,29005
College of the Ozarks,30764
Loyola Marymount University,70235
Saint Martin's University,52603
Lenoir-Rhyne University,50232
Point Park University,45350
Hamline University,51984
Adrian College,54621
Illinois College,44465
Davis & Elkins College,42233
The University of Texas at Dallas,27120
University of Denver,69469
Kentucky State University,16885
Lane College,23551
Southeastern Louisiana University,21073
Methodist College,30504
Southern Adventist University,35820
Rockhurst University,53221
Elmira College,48133
Alice Lloyd College,25490
Texas Lutheran University,42208
Eastern Illinois University,24125
