PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
64715,66083,-2.1,66083,5.7,22.2,17.2,51.3,81.6,14.7,0.5,1,0,2.1,8,75.4,89.6,4.5,7.2,86,20.4,5548,26.4,27564,71.7,17.6,190200,25003,2.58,28772,59718,12.4,1169,19049,-6.9,2853,4585,6.4,0,0,0,2.3,25.6,1440380,0,669436,10146,82295,51,331.9,199.1
82101,77422,6,77422,6.4,26.1,14.3,51.2,96.1,0.8,0.7,0.6,0.1,1.8,2.9,93.6,83.8,1.9,3.2,91.6,25.9,6611,25.6,32623,74,12.4,142600,29652,2.63,25134,52838,10.6,1650,13075,-0.3,6446,7712,0,0,0,0,1.2,21.4,255616,166361,716787,9781,59653,390,562.65,137.6
4870,4936,-1.3,4936,4.9,22.4,25.2,51,96.5,1.1,0.9,0.2,0,1.2,17.3,80.3,94.4,7.3,11.5,81.5,21.9,411,17.5,2849,80.1,2.7,104100,1817,2.59,22651,44213,13.1,109,876,3.5,426,661,0,0,0,0,0,0,0,0,70373,14123,2080,0,748.26,6.6
10011,10449,-4.2,10449,4.7,20.3,20.1,50.3,98.4,0.4,0.2,0.2,0,0.9,0.7,97.7,92.4,0.2,0.7,78.6,10.6,1051,27.8,5810,79,4.2,73400,4032,2.54,17843,35769,21.1,209,2438,2.6,723,1043,0,0,0,0,0,27.6,0,23299,60394,5843,3646,1,451.99,23.1
9346,8437,10.8,8437,6.8,28.1,11.6,47.7,91.5,1.8,3.3,0.8,0.2,2.3,46.6,47.8,83.7,4.7,24.3,84.3,11.1,820,17.5,4416,46.1,6.6,81000,3386,2.54,20516,47992,16,90,4834,5.8,220,538,0,0,0,0,0,0,0,0,35595,4587,4888,1,1843.13,4.6
123164,116927,5.3,116927,5.7,24.4,14.8,50,95.1,1.7,0.9,0.7,0.1,1.6,11.4,84.4,86.2,4.1,8.5,88.1,25,10653,31,47807,79.2,6.7,152900,42322,2.72,30692,64515,10.9,2379,26889,3.4,11363,12395,0,0,0,0,4.5,24,550365,524204,1517829,13971,110365,382,903.48,129.4
151367,152682,-0.9,152691,4,18.5,14,49.8,90.3,3.6,0.2,4.1,0.1,1.8,5,86.2,85.7,6.9,10.6,93,36.9,10916,25.8,58529,74.4,24.5,254800,54327,2.52,34392,80529,6.5,2398,30798,1.7,9190,11698,0,0,2.9,0,1.8,32.5,1021759,214311,1206302,8140,173091,203,410.21,372.2
813475,798542,1.9,798552,5.6,22,14.1,50.7,87.5,5.3,0.4,4.7,0.1,2,10.5,78.8,88,11.3,18.2,89.4,33.8,53990,27.9,329085,65.7,36.7,259200,299663,2.59,31537,65223,11.2,17635,281520,0.8,49892,64114,2.4,0,3.8,0,2.8,28.2,10706055,6913732,10057154,12634,1150731,1268,1510.77,528.6
64713,64773,-0.1,64757,4.3,15.6,11.4,50.1,91.2,2.7,0.4,3.4,0,2.2,1.8,89.8,70.3,3.9,4.8,89.4,28.2,3614,20.7,26188,56.6,26.1,115500,22181,2.49,17019,33823,31.7,1045,12743,-1.8,3238,3769,0,0,0,0,1.8,29.3,0,0,563216,8959,80961,93,503.6,128.6
47617,46735,1.9,46735,6,20.3,12.3,51.3,55,41.6,0.4,1.7,0.1,1.2,2.7,53,77.2,4.8,4.2,85.1,34.4,2587,20.8,19732,54.7,23.2,116900,16877,2.56,20633,35769,30.4,1018,14521,0.3,2755,3441,0,0,1.5,0,0,24.1,0,171292,527771,12361,72490,74,471.74,99.1
