Short Name,Survey Question
grade,In what grade school are you?
age,What is your current age?
gender,Are you a male or female?
live,Do you live?
times_moved,How many different times has your family moved to a different home or apartment in the last 2 years?
now_living,Where are you now living?
time_work,"On the average during the school year, how many hours a week do you spend working in a paid job?"
time_no_adult,"On the average during the school year, how many hours a week do you spend outside of school with no adult supervision?"
time_friend,"On the average during the school year, how many hours a week do you spend helping friends, neighbors, or others (including volunteer activities)?"
time_school_act,"On the average during the school year, how many hours a week do you spend participating in extra-curricular activities at school (sports, music, clubs, etc.)?"
time_noschool_act,"On the average during the school year, how many hours a week do you spend participating in activities outside of school (sports, music, 4-H, Scouts, clubs, etc.)?"
time_reading,"On the average during the school year, how many hours a week do you spend reading just for fun?"
time_church,"On the average during the school year, how many hours a week do you spend at church or synagogue worship service, programs, or activities?"
time_hw,"On the average during the school year, how many hours a week do you spend doing school assignments?"
time_excersize,On how many of the past 7 days did you exercise or do physical activity for at least 20 minutes?
time_fruit,"During the past 7 days, how many times did you eat fruit and/or vegetables?"
x30_smoke,"During the past 30 days, on the days you smoked, how many cigarettes did you smoke per day?"
x30_5drinks,"During the last 30 days, on how many days did you have 5 or more drinks of alcohol (glasses of wine, liquor, mixed drinks) in a row, that is within a couple of hours?"
x30dr_driving,"In the last 30 days, how many times have you driven a car or other motor vehicle after using any amount of alcohol or other drugs?"
x30_cig,"In the past 30 days, on how many days have you smoked cigarettes?"
x30cigars,"In the past 30 days, on how many days have you smoked cigars?"
x30drink,"In the past 30 days, on how many days have you had at least one drink of alcohol (glass, bottle or can of beer; glass of wine, liquor or mixed drink)?"
x30marijuana,"In the past 30 days, on how many days have you used marijuana (pot, grass, hash, bud, weed)?"
x30glue,"In the past 30 days, on how many days have you sniffed glue, breathed the contents of gases or sprays in order to get high?"
x30meth,"In the past 30 days, on how many days have you used methamphetamines (crank, ice)?"
x30coke,"In the past 30 days, on how many days have you used cocaine (coke, rock, crack)?"
x30amph,"In the past 30 days, on how many days have you used amphetamines other than methamphetamines (like stimulants, uppers, speed)?"
x30prescription,"In the past 30 days, on how many days have you used prescription medications that were not prescribed for you by your doctor?"
x30counter,"In the past 30 days, on how many days have you used over the counter medications different from the directions?"
x30chew,"If you have ever used any of the substances below, on how many of the last 30 days have you used smokeless tobacco (chewing tobacco, snuff, plug, dipping tobacco)?"
x30steroid,"If you have ever used any of the substances below, on how many of the last 30 days have you taken steroid pills or shots without a doctor's prescription?"
x30barbituates,"If you have ever used any of the substances below, on how many of the last 30 days have you taken any other illegal drug (like barbiturates, heroin, hallucinogens) without a doctor's prescription?"
pride,I feel I do not have much to be proud of.
truth,It is important to tell the truth.
values_drug,It is against my values to use alcohol and drugs as a teenager.
responsibility,I accept responsibility for my actions when I make a mistake or get into trouble.
friends,I am good at make friends.
fix_problems,"When I have problems, I am good at finding a way to fix them."
decision,I think things through carefully before I make a decision.
excite,"Even if it is dangerous, I like to do exciting things."
hard_work,I believe that working hard now will make my life successful in the future.
pop_cig,"Would you be more or less likely to be popular (respected or cool) with the other students in your school, if you smoked cigarettes?"
pop_drink,"Would you be more or less likely to be popular (respected or cool) with the other students in your school, if you drank alcoholic beverages?"
pop_marijuana,"Would you be more or less likely to be popular (respected or cool) with the other students in your school, if you smoked marijuana?"
pop_otherdrug,"Would you be more or less likely to be popular (respected or cool) with the other students in your school, if you used any other illegal drug?"
safe,I can feel safe at school.
best_school,I try to do my best in school.
talk_adult,There is at least one adult at school that I could to to for help with a problem.
grades,"At school, my grades are mostly."
home_rules,In my home there are clear rules about what I can and cannot do.
home_happy,I have a happy home.
home_al_drug,There are people living in my home who have a serious alcohol or drug problem.
home_close,I feel very close to at least one of my parents/guardians.
home_talk,I can talk about the things that bother me or I don't understand with someone in my home.
home_support,I can get help and support when I need it from someone in my home.
home_know,"A parent/guardian knows where I am and who I am with, especially in the evening and on weekends."
home_chores,"A parent/guardian checks to make sure I have done the things I am supposed to do (school homework, household chores, get home on time, etc.)."
home_wrong,"A parent/guardian generally finds out if I have done something wrong, and then punishes me."
home_praise,"When I am doing a good job, someone in my home lets me know about it."
wpdrink,"How wrong would your parents/guardians feel it would be for you to drink beer, wine or hard liquor (for example vodka, whiskey, gin) without their permission?"
n_safe,My neighborhood is a safe place to live.
